X;time;peak
[32, 1, 8, 3];0.070317;0.0071010126251390806
[8, 32, 1, 2];0.0414381;0.01204982624111397
[2, 1, 16, 3];0.0419059;0.011915312754574052
[1, 16, 32, 5];0.033128;0.01507250376605605
[16, 256, 2, 1];0.00399399;0.1250183162105826
[4, 1, 8, 5];0.0382669;0.013048402268328627
[16, 16, 64, 4];0.00333095;0.14990375261168878
[16, 8, 16, 4];0.00474;0.10534217400040184
[1, 32, 1, 1];0.00233912;0.21346570708723997
[4, 16, 4, 0];0.0286169;0.017448497383081494
[8, 4, 1, 5];0.0337288;0.014804022223201084
[1, 4, 128, 3];0.053597;0.009316228609099479
[4, 4, 8, 3];0.0272579;0.018318428960481355
[8, 4, 8, 4];0.00817704;0.06106389411839795
[1, 64, 1, 3];0.0394201;0.012666682853719417
[8, 1, 16, 3];0.031234;0.015986486033229965
[4, 4, 256, 1];0.014869;0.033581404584162
[256, 2, 2, 0];0.0521011;0.009583711375804058
[2, 2, 4, 1];0.015913;0.03137823821792904
[32, 4, 1, 3];0.0605509;0.008246316813819527
[2, 1, 64, 0];0.0472338;0.01057128380020038
[128, 1, 8, 0];0.038511;0.01296569563921749
[16, 1, 64, 4];0.0450871;0.011074606811303117
[16, 4, 16, 3];0.0462661;0.010792392372858417
[32, 4, 8, 5];0.0646579;0.00772251967295419
[1, 8, 2, 2];0.030756;0.0162349429302219
[8, 64, 2, 4];0.00239706;0.20830596846215982
[4, 1, 256, 2];0.059309;0.00841899045274587
[2, 128, 64, 1];0.00363207;0.13747584841754285
[16, 2, 32, 1];0.0185709;0.026887329357322732
[2, 64, 1, 3];0.040303;0.012389199433340069
[256, 16, 2, 4];0.00750613;0.06652188341554234
[32, 1, 8, 2];0.0308051;0.016209066185855745
[2, 16, 16, 4];0.00269389;0.18535348687656317
[1, 1, 256, 3];0.0618861;0.008068401543511463
[8, 8, 4, 1];0.00381613;0.1308450982440076
[4, 2, 8, 4];0.0191739;0.026041749709861048
[16, 2, 2, 0];0.0287299;0.017379869222026695
[1, 256, 8, 1];0.00155401;0.3213118993841126
[128, 8, 1, 5];0.120246;0.004152503241371062
[128, 1, 8, 2];0.0436769;0.01143217363782468
[1, 8, 64, 1];0.009058;0.05512496188583625
[2, 8, 4, 4];0.00412798;0.12096034979866782
[2, 4, 128, 2];0.053232;0.009380107919332446
[4, 128, 2, 1];0.00162101;0.3080313537621019
[4, 4, 32, 3];0.052299;0.009547446504940913
[64, 16, 4, 4];0.0138249;0.03611757804844193
[4, 2, 1, 1];0.0103788;0.04810979157146344
[1, 4, 256, 3];0.0734799;0.006795353624078214
[8, 64, 4, 4];0.00186586;0.2676095230949293
[2, 8, 8, 2];0.027633;0.018069768203304193
[32, 8, 4, 1];0.00506711;0.0985417535364152
[8, 4, 32, 2];0.0367911;0.013571812334012974
[16, 2, 32, 0];0.0370791;0.013466397640770806
[4, 2, 2, 5];0.0324829;0.015371838867893714
[1, 16, 2, 1];0.0040462;0.12340514674556492
[16, 1, 64, 1];0.0473518;0.010544940314030402
[1, 32, 16, 5];0.0358109;0.013943293934581503
[1, 4, 8, 1];0.015491;0.032233032390543204
[1, 4, 128, 4];0.0155911;0.03202608570029727
[1, 4, 64, 1];0.0155361;0.03213946259112034
[32, 16, 16, 1];0.00227499;0.2194831207002689
[8, 64, 1, 2];0.0413139;0.012086051056954311
[8, 64, 8, 1];0.00148797;0.3355725617868
[64, 1, 16, 5];0.176815;0.0028239793273302873
[4, 2, 64, 1];0.023104;0.021611924548212636
[4, 32, 4, 2];0.0287349;0.017376845047726103
[2, 1, 1, 0];0.0321801;0.015516480830137406
[1, 1, 128, 3];0.061883;0.008068805726320714
[32, 16, 8, 4];0.00420713;0.1186846864161328
[32, 2, 8, 4];0.0345471;0.01445336670116753
[1, 128, 8, 5];0.0403171;0.012384866589162036
[8, 1, 1, 1];0.01847;0.027034212493876813
[256, 1, 2, 5];0.156758;0.0031853041296897432
[4, 64, 2, 3];0.0325758;0.015328001300410265
[16, 16, 8, 4];0.00261211;0.1911565381097675
[1, 8, 128, 5];0.032428;0.015397863104783052
[2, 1, 1, 3];0.032177;0.01551797572060493
[2, 32, 16, 5];0.039597;0.012610094319314716
[2, 16, 4, 1];0.00217485;0.22958912327834324
[4, 8, 8, 5];0.033951;0.014707133950749749
[32, 16, 32, 4];0.00486898;0.10255164423799333
[16, 4, 4, 1];0.00709796;0.07034724128649707
[8, 1, 2, 1];0.030786;0.016219122483008663
[64, 8, 1, 2];0.155439;0.0032123334862029784
[8, 4, 32, 1];0.00930595;0.05365619896538287
[64, 64, 4, 1];0.00177288;0.2816445020316687
[1, 128, 2, 2];0.0322878;0.015464723665344335
[32, 1, 32, 0];0.0387151;0.012897342503620157
[128, 4, 2, 0];0.0448978;0.01112130003612437
[2, 1, 2, 1];0.0318592;0.015672769710535883
[8, 4, 1, 4];0.00493693;0.10114016296806007
[1, 2, 4, 0];0.0318339;0.01568522564818966
[32, 128, 4, 4];0.00781393;0.0639015072776317
[2, 2, 2, 1];0.016032;0.031145328390837373
[1, 1, 4, 1];0.0616848;0.008094731680444856
[16, 64, 1, 4];0.00330305;0.15116995042821174
[4, 32, 1, 2];0.0404968;0.012329910135168824
[8, 128, 1, 2];0.041862;0.011927808149680013
[16, 2, 8, 5];0.0388181;0.012863120677258926
[32, 1, 1, 1];0.058249;0.008572197029337925
[16, 32, 4, 4];0.00221705;0.2252190544921877
[4, 16, 128, 1];0.00357389;0.13971384255304578
[2, 128, 1, 5];0.040488;0.012332590020793932
[1, 2, 256, 0];0.0592532;0.008426918795303964
[64, 32, 2, 1];0.00277495;0.1799390636811131
[16, 1, 8, 1];0.0563219;0.008865501781046179
[4, 1, 16, 1];0.0304971;0.016372766747064633
[1, 4, 128, 1];0.017864;0.02795129337001258
[128, 8, 1, 0];0.0542951;0.009196445070768906
[16, 1, 4, 0];0.026669;0.018722933171918886
[256, 16, 1, 4];0.00909686;0.05488947887094061
[16, 64, 1, 5];0.0480862;0.010383891943258247
[2, 4, 2, 5];0.0324361;0.015394017923298569
[8, 2, 16, 4];0.016573;0.030128637226929628
[256, 2, 2, 5];0.136588;0.0036556791574801945
[8, 16, 4, 0];0.028583;0.017469191644050825
[8, 32, 2, 2];0.034163;0.014615868183763276
[16, 8, 1, 0];0.041384;0.012065578599504755
[4, 1, 8, 0];0.027873;0.01791417876661661
[2, 16, 8, 3];0.02672;0.018687197034502424
[8, 4, 16, 4];0.00796294;0.0627057223540432
[1, 8, 8, 0];0.0251431;0.0198592021175553
[2, 128, 1, 2];0.040463;0.012340209691864291
[4, 256, 4, 1];0.00202107;0.2470581943039602
[16, 1, 16, 1];0.0294049;0.01698090810585667
[128, 8, 2, 4];0.0162132;0.030797245748026593
[4, 64, 1, 0];0.040494;0.012330762699706246
[8, 1, 8, 2];0.0253069;0.019730662576684807
[4, 64, 1, 5];0.0404968;0.012329910135168824
[32, 4, 2, 3];0.0621281;0.008036973684402144
[2, 4, 1, 2];0.01878;0.02658796084994168
[16, 8, 64, 4];0.00771999;0.06467908698870138
[1, 1, 8, 2];0.0620289;0.00804982685106305
[1, 256, 4, 3];0.0284798;0.017532493372913602
[2, 64, 8, 0];0.027359;0.018250736677579763
[1, 2, 64, 2];0.0472531;0.010566966077609824
