X;time;peak;backend
[1, 16, 1, 1];0.0038788944366388023;0.12872789216573388;jir
[1, 16, 1, 1];0.0038857465842738748;0.12850089266827794;mlir
[1, 16, 1, 1];0.0038804623764008284;0.12867587836917294;tvm
[1, 16, 1, 4];0.00387943466193974;0.12870996634139492;jir
[1, 16, 1, 4];0.003885268699377775;0.12851669817376365;mlir
[1, 16, 1, 4];0.003893509041517973;0.1282447014858434;tvm
[1, 16, 2, 1];0.003869532374665141;0.12903934026527294;jir
[1, 16, 2, 1];0.003885146987158805;0.12852072428977962;mlir
[1, 16, 2, 1];0.0038979800301603973;0.1280976046307139;tvm
[1, 16, 2, 4];0.003869074920658022;0.129054597029355;jir
[1, 16, 2, 4];0.0038842997746542096;0.12854875620570652;mlir
[1, 16, 2, 4];0.0038976011564955115;0.12811005659975352;tvm
[1, 16, 4, 1];0.0038683597231283784;0.1290784571498171;jir
[1, 16, 4, 1];0.0038772159605287015;0.12878361944373526;mlir
[1, 16, 4, 1];0.0038902988890185952;0.1283505249870065;tvm
[1, 16, 4, 4];0.0038693929673172534;0.12904398932323927;jir
[1, 16, 4, 4];0.0038768879021517932;0.1287945169848129;mlir
[1, 16, 4, 4];0.003897353424690664;0.12811819980158365;tvm
[1, 16, 8, 1];0.0038590983604080975;0.12938822961462473;jir
[1, 16, 8, 1];0.003868804720696062;0.12906361029048488;mlir
[1, 16, 8, 1];0.00385811721207574;0.1294211340181809;tvm
[1, 16, 8, 4];0.003859035554341972;0.12939033541686226;jir
[1, 16, 8, 4];0.0038674448733218014;0.1291089908498244;mlir
[1, 16, 8, 4];0.0038576076622121036;0.1294382292043598;tvm
[1, 16, 16, 1];0.0038586222799494863;0.1294041936565093;jir
[1, 16, 16, 1];0.003867229912430048;0.12911616740369758;mlir
[1, 16, 16, 1];0.003858271287754178;0.12941596573229822;tvm
[1, 16, 16, 4];0.003857664589304477;0.12943631909997927;jir
[1, 16, 16, 4];0.003869105887133628;0.12905356413799784;mlir
[1, 16, 16, 4];0.00385746278334409;0.12944309065479445;tvm
[1, 16, 32, 1];0.0038559866952709854;0.1294926420192988;jir
[1, 16, 32, 1];0.00386544584762305;0.12917575991109773;mlir
[1, 16, 32, 1];0.0038580253021791577;0.12942421722321754;tvm
[1, 16, 32, 4];0.0038562797126360238;0.12948280258969727;jir
[1, 16, 32, 4];0.0038679110002703965;0.12909343175864138;mlir
[1, 16, 32, 4];0.0038575028302147985;0.12944174683446724;tvm
[1, 16, 64, 1];0.003855458169709891;0.12951039352074642;jir
[1, 16, 64, 1];0.0038649268681183457;0.12919310553604382;mlir
[1, 16, 64, 1];0.003861274919472635;0.12931529486382728;tvm
[1, 16, 64, 4];0.0038554545608349144;0.12951051474816877;jir
[1, 16, 64, 4];0.003872324770782143;0.1289462879067993;mlir
[1, 16, 64, 4];0.003855828719679266;0.1294979474097177;tvm
[1, 16, 128, 1];0.0038495096378028393;0.1297105220515566;jir
[1, 16, 128, 1];0.00393776420969516;0.12680340370114732;mlir
[1, 16, 128, 1];0.0038562925765290856;0.12948237065853727;tvm
[1, 16, 128, 4];0.003849080065265298;0.1297249982581199;jir
[1, 16, 128, 4];0.003929319267626852;0.12707593116083815;mlir
[1, 16, 128, 4];0.0038576896768063307;0.12943547734385905;tvm
[1, 16, 256, 1];0.0038508756551891565;0.12966450996387155;jir
[1, 16, 256, 1];0.003935851447749883;0.12686502816242365;mlir
[1, 16, 256, 1];0.0038564351852983236;0.1294775824744682;tvm
[1, 16, 256, 4];0.003850599576253444;0.12967380660435612;jir
[1, 16, 256, 4];0.0039597381255589426;0.12609972905504258;mlir
[1, 16, 256, 4];0.0038622592110186815;0.12928233903550126;tvm
[1, 16, 512, 1];0.004096131946425885;0.12190083505429858;jir
[1, 16, 512, 1];0.0041035181493498385;0.12168141740545667;mlir
[1, 16, 512, 1];0.004228527075611055;0.1180841214525625;tvm
[1, 16, 512, 4];0.004097450408153236;0.12186161027558462;jir
[1, 16, 512, 4];0.004102873441297561;0.12170053790496421;mlir
[1, 16, 512, 4];0.0041252413066104054;0.12104065378230772;tvm
[1, 32, 1, 1];0.0019940031925216317;0.2504117880224948;jir
[1, 32, 1, 1];0.0020036169153172523;0.24921026616649533;mlir
[1, 32, 1, 1];0.0019973218149971217;0.24999571977469456;tvm
[1, 32, 1, 4];0.0019940271449740976;0.2504087800511818;jir
[1, 32, 1, 4];0.002006197231821716;0.2488897386766397;mlir
[1, 32, 1, 4];0.001997629791731015;0.24995717766565004;tvm
[1, 32, 2, 1];0.0019934293522965163;0.2504838730234731;jir
[1, 32, 2, 1];0.0020071067847311497;0.2487769502651492;mlir
[1, 32, 2, 1];0.002001911692786962;0.24942254274301864;tvm
[1, 32, 2, 4];0.0019931237620767206;0.250522277774482;jir
[1, 32, 2, 4];0.0020034244225826114;0.24923421075112465;mlir
[1, 32, 2, 4];0.002017483755480498;0.24749736071256878;tvm
[1, 32, 4, 1];0.001996778621105477;0.25006372738779875;jir
[1, 32, 4, 1];0.0020056184439454228;0.24896156408476486;mlir
[1, 32, 4, 1];0.002001020358875394;0.24953364544603227;tvm
[1, 32, 4, 4];0.0019970284774899483;0.25003244089413246;jir
[1, 32, 4, 4];0.002005302783800289;0.2490007537991993;mlir
[1, 32, 4, 4];0.0020005607802886516;0.24959096953298263;tvm
[1, 32, 8, 1];0.0019851222168654203;0.251532072191682;jir
[1, 32, 8, 1];0.0019936210883315653;0.2504597827964293;mlir
[1, 32, 8, 1];0.0019998349889647216;0.24968155248668528;tvm
[1, 32, 8, 4];0.001985042617889121;0.25154215847157974;jir
[1, 32, 8, 4];0.0019944763625971973;0.25035238026671336;mlir
[1, 32, 8, 4];0.002000792243052274;0.2495620954628317;tvm
[1, 32, 16, 1];0.0019851413089782;0.2515296530799199;jir
[1, 32, 16, 1];0.0019938225741498172;0.2504344725732779;mlir
[1, 32, 16, 1];0.0019875951984431595;0.25121911400923735;tvm
[1, 32, 16, 4];0.001984210073715076;0.2516477017108448;jir
