X;time;peak
[1, 16, 1, 1];0.00414801;0.12037625385712783
[1, 16, 1, 4];0.00412917;0.12092548981076216
[1, 16, 2, 1];0.0040741;0.12256005124123237
[1, 16, 2, 4];0.00408387;0.12226684609497972
[1, 16, 4, 1];0.0040431;0.1234997662095681
[1, 16, 4, 4];0.00404716;0.12337587462860494
[1, 16, 8, 1];0.00401282;0.12443167267953827
[1, 16, 8, 4];0.00402093;0.12418070067419845
[1, 16, 16, 1];0.00408816;0.12213854270916616
[1, 16, 16, 4];0.00408816;0.12213854270916616
[1, 16, 32, 1];0.00404501;0.12344145126017111
[1, 16, 32, 4];0.00406289;0.12289820909793392
[1, 16, 64, 1];0.00401592;0.12433562042119982
[1, 16, 64, 4];0.00401497;0.12436504002817078
[1, 16, 128, 1];0.0040381;0.12365268437183446
[1, 16, 128, 4];0.00402403;0.12408503534066714
[1, 16, 256, 1];0.00403118;0.12386494891369396
[1, 16, 256, 4];0.00412798;0.12096034979866782
[1, 16, 512, 1];0.00418901;0.11919806941542388
[1, 16, 512, 4];0.00651217;0.07667519502130699
[1, 32, 1, 1];0.00298715;0.16715662245347732
[1, 32, 1, 4];0.00230503;0.21662273582639044
[1, 32, 2, 1];0.00262499;0.19021859312298517
[1, 32, 2, 4];0.00271201;0.18411506770325506
[1, 32, 4, 1];0.0022819;0.2188184866829856
[1, 32, 4, 4];0.00224805;0.2221133447930005
[1, 32, 8, 1];0.00218487;0.22853620799494007
[1, 32, 8, 4];0.00215197;0.23203014203818118
[1, 32, 16, 1];0.00235319;0.2121893704978794
[1, 32, 16, 4];0.00290799;0.17170688508622958
[1, 32, 32, 1];0.0026021;0.191891896837902
[1, 32, 32, 4];0.00324512;0.15386854870140543
[1, 32, 64, 1];0.00229001;0.21804354774079798
[1, 32, 64, 4];0.00226593;0.2203606928554301
[1, 32, 128, 1];0.00223899;0.22301211919745276
[1, 32, 128, 4];0.00231194;0.2159752868854316
[1, 32, 256, 1];0.00227594;0.21939150626198614
[1, 32, 256, 4];0.00228906;0.2181340396328208
[1, 32, 512, 1];0.00251198;0.1987762262286741
[1, 32, 512, 4];0.00309706;0.16122448540289977
[1, 64, 1, 1];0.00180197;0.2770977900641547
[1, 64, 1, 4];0.00219893;0.22707494315958432
[1, 64, 2, 1];0.00261307;0.19108631026413558
[1, 64, 2, 4];0.0020299;0.24598349906985803
[1, 64, 4, 1];0.00220084;0.22687787606636775
[1, 64, 4, 4];0.00216985;0.2301181670446827
[1, 64, 8, 1];0.00171113;0.2918082815226808
[1, 64, 8, 4];0.00246501;0.20256384548618656
[1, 64, 16, 1];0.0021801;0.22903623905412815
[1, 64, 16, 4];0.00286889;0.1740470721296058
[1, 64, 32, 1];0.00226498;0.22045311868621564
[1, 64, 32, 4];0.00235701;0.21184547573489496
[1, 64, 64, 1];0.00238013;0.2097876606579913
[1, 64, 64, 4];0.00230503;0.21662273582639044
[1, 64, 128, 1];0.00243306;0.20522383531927071
[1, 64, 128, 4];0.00221086;0.22584962628203722
[1, 64, 256, 1];0.00466919;0.10693972718221036
[1, 64, 256, 4];0.00231504;0.21568608091519142
[1, 128, 1, 1];0.00173187;0.2883137329949158
[1, 128, 1, 4];0.00176191;0.28339807638409725
[1, 128, 2, 1];0.00173402;0.2879562546925092
[1, 128, 2, 4];0.00238919;0.2089921290319752
[1, 128, 4, 1];0.00175905;0.283858846969617
[1, 128, 4, 4];0.00188398;0.26503567169603964
[1, 128, 8, 1];0.00171113;0.2918082815226808
[1, 128, 8, 4];0.00168204;0.29685495277276686
[1, 128, 16, 1];0.00220108;0.2268531378968074
[1, 128, 16, 4];0.00216889;0.23022002257463714
[1, 128, 32, 1];0.00219989;0.22697585095705003
[1, 128, 32, 4];0.00214911;0.23233892390892266
[1, 128, 64, 1];0.00215697;0.2314922807280142
[1, 128, 64, 4];0.00213408;0.23397525151911117
[1, 128, 128, 1];0.00232983;0.21431688353309242
[1, 128, 128, 4];0.0023129;0.21588564346141415
[1, 256, 1, 1];0.00220609;0.22633795754565986
[1, 256, 1, 4];0.00223398;0.22351225380795925
[1, 256, 2, 1];0.00206518;0.24178129981982432
[1, 256, 2, 4];0.00178003;0.28051319627304305
[1, 256, 4, 1];0.00159979;0.3121171558528962
[1, 256, 4, 4];0.00214291;0.2330111412807373
[1, 256, 8, 1];0.00155616;0.32086797293459846
[1, 256, 8, 4];0.00156689;0.3186706818997535
[1, 256, 16, 1];0.00234699;0.21274990722666254
[1, 256, 16, 4];0.00216198;0.23095583898181518
[1, 256, 32, 1];0.00216198;0.23095583898181518
[1, 256, 32, 4];0.00246096;0.20289720465261718
[1, 256, 64, 1];0.00216198;0.23095583898181518
[1, 256, 64, 4];0.0023129;0.21588564346141415
[2, 16, 1, 1];0.00227213;0.21975939086315696
[2, 16, 1, 4];0.00252008;0.19813732292701214
[2, 16, 2, 1];0.00220299;0.22665645543643173
[2, 16, 2, 4];0.00219107;0.22788952646967225
[2, 16, 4, 1];0.00216103;0.23105736836689209
[2, 16, 4, 4];0.00216699;0.23042187770220662
[2, 16, 8, 1];0.00266409;0.18742681544613912
[2, 16, 8, 4];0.00273299;0.1827016947599167
[2, 16, 16, 1];0.00239301;0.20865851156572884
[2, 16, 16, 4];0.00272584;0.18318092946097522
[2, 16, 32, 1];0.00278115;0.17953792667130675
[2, 16, 32, 4];0.00265217;0.18826919268444509
[2, 16, 64, 1];0.00320697;0.15569896343336695
[2, 16, 64, 4];0.00265789;0.18786402174729006
[2, 16, 128, 1];0.00363088;0.13752090533476866
[2, 16, 128, 4];0.00267506;0.18665820757736454
[2, 16, 256, 1];0.0040009;0.12480239565145462
[2, 16, 256, 4];0.00365806;0.1364991019179305
[2, 16, 512, 1];0.00430012;0.11611813269441429
[2, 16, 512, 4];0.00376797;0.1325174841524494
[2, 32, 1, 1];0.00209093;0.23880374032698598
[2, 32, 1, 4];0.00273395;0.18263754083355757
[2, 32, 2, 1];0.00165606;0.3015119650024183
[2, 32, 2, 4];0.00140905;0.3543677688952874
[2, 32, 4, 1];0.00129795;0.3847004158572401
[2, 32, 4, 4];0.00233197;0.21412020942032048
[2, 32, 8, 1];0.00242114;0.2062342139495877
[2, 32, 8, 4];0.00209498;0.23834208668431428
[2, 32, 16, 1];0.00220609;0.22633795754565986
[2, 32, 16, 4];0.00212193;0.23531497493409526
[2, 32, 32, 1];0.00213695;0.2336610144186363
[2, 32, 32, 4];0.00265789;0.18786402174729006
[2, 32, 64, 1];0.00376701;0.13255125544182383
[2, 32, 64, 4];0.00205803;0.24262129549224487
[2, 32, 128, 1];0.0022459;0.22232597389104805
[2, 32, 128, 4];0.00205588;0.2428750242046738
[2, 32, 256, 1];0.00290012;0.17217284276578376
[2, 32, 256, 4];0.00207996;0.24006322465908228
[2, 64, 1, 1];0.00186586;0.2676095230949293
[2, 64, 1, 4];0.00184584;0.2705120187892259
[2, 64, 2, 1];0.00200391;0.24917381756760773
[2, 64, 2, 4];0.0018611;0.26829396849277565
[2, 64, 4, 1];0.00144911;0.34457142988586426
[2, 64, 4, 4];0.00112605;0.44342782714968676
[2, 64, 8, 1];0.00220513;0.22643649343209007
