X;time;peak
[4, 4, 16, 4, 32, 2, 1];0.023124;0.02159323234569732
[2, 8, 1, 16, 1, 1, 128];0.0606682;0.008230372827311587
[4, 16, 1, 2, 32, 4, 128];0.0169082;0.02953134601920398
[4, 2, 8, 32, 2, 1, 8];0.0408599;0.012220340841801004
[8, 32, 1, 1, 32, 1, 16];0.0322878;0.015464723665344335
[1, 32, 1, 1, 8, 1, 512];0.0658891;0.007578217106652007
[1, 32, 4, 2, 64, 2, 2];0.017164;0.029091231925070193
[1, 4, 2, 4, 1, 8, 128];0.00671387;0.07437169691428412
[16, 8, 2, 1, 8, 2, 32];0.024163;0.020664731397670187
[8, 4, 4, 8, 1, 16, 256];0.00257397;0.19398901493098394
[2, 8, 1, 1, 2, 64, 256];0.00237393;0.21033556371161105
[64, 4, 1, 1, 1, 1, 512];0.06407;0.0077933807517075815
[8, 8, 4, 4, 1, 16, 8];0.0021801;0.22903623905412815
[4, 1, 4, 1, 2, 128, 8];0.00192189;0.2598077438156735
[32, 1, 1, 2, 2, 8, 8];0.005018;0.09950615878077018
[1, 32, 2, 16, 4, 1, 128];0.038784;0.012874430300172875
[16, 1, 1, 8, 8, 2, 2];0.0156488;0.031907999639710694
[2, 32, 4, 16, 4, 4, 16];0.00907803;0.0550033327453098
[1, 16, 2, 16, 4, 2, 32];0.0179789;0.027772661551146334
[16, 4, 2, 32, 2, 2, 16];0.0202711;0.024632205689967726
[2, 4, 2, 2, 16, 8, 4];0.00352192;0.1417754817718474
[2, 1, 8, 2, 1, 4, 1];0.00777316;0.06423666884020202
[64, 1, 2, 2, 8, 1, 128];0.037055;0.013475155977922138
[1, 4, 1, 1, 4, 32, 4];0.00200295;0.2492932448448063
[1, 32, 8, 1, 2, 1, 2];0.0391691;0.01274785238266656
[2, 8, 16, 16, 1, 8, 8];0.00506902;0.09850462313463053
[2, 2, 4, 32, 2, 2, 64];0.0221119;0.022581592027908264
[32, 1, 8, 2, 8, 16, 128];0.00261617;0.19085988477885793
[8, 8, 4, 256, 1, 1, 32];0.028405;0.01757866237500105
[128, 1, 1, 4, 1, 16, 8];0.00412321;0.12110028467187088
[2, 4, 4, 1, 1, 16, 16];0.00214291;0.2330111412807373
[1, 8, 32, 2, 2, 8, 32];0.010814;0.04617365496226232
[1, 128, 2, 4, 1, 16, 64];0.00254512;0.1961879615742695
[1, 2, 64, 1, 8, 2, 4];0.104096;0.004796744397113288
[128, 1, 2, 16, 2, 2, 512];0.020232;0.024679809448492723
[1, 4, 2, 1, 1, 64, 2];0.00197196;0.2532109701829169
[128, 1, 2, 2, 1, 8, 512];0.00657296;0.07596606471998989
[32, 1, 4, 1, 16, 1, 64];0.0365469;0.013662496812640874
[1, 4, 64, 4, 4, 1, 2];0.179263;0.002785415310253118
[1, 2, 1, 64, 1, 1, 1];0.03918;0.012744305889788279
[2, 1, 16, 2, 1, 4, 2];0.00938416;0.05320901442024696
[8, 4, 4, 2, 2, 1, 1];0.0300188;0.016633639744490277
[64, 2, 1, 1, 8, 2, 16];0.016952;0.029455043933571543
[1, 4, 1, 2, 2, 8, 2];0.00416088;0.12000391858498799
[2, 32, 4, 4, 2, 2, 64];0.0224841;0.02220777815264586
[1, 8, 2, 4, 8, 2, 8];0.014662;0.034055511169138235
[2, 8, 1, 4, 2, 8, 128];0.00864697;0.05774530324054608
[32, 1, 1, 1, 128, 2, 8];0.00707006;0.07062484685588308
[1, 2, 32, 1, 64, 2, 4];0.031373;0.015915656926717394
[4, 1, 64, 16, 2, 1, 16];0.185307;0.002694565800330828
[1, 16, 1, 32, 4, 1, 128];0.0621641;0.008032319373431044
[1, 256, 1, 1, 1, 8, 128];0.0075109;0.06647963689596517
[4, 16, 2, 32, 1, 1, 256];0.034642;0.014413772436981259
[2, 64, 2, 4, 2, 8, 64];0.00570416;0.08753644791904588
[1, 1, 8, 8, 2, 4, 2];0.00891995;0.05597810579228637
[2, 16, 1, 1, 16, 16, 8];0.00191903;0.26019494471785476
[128, 1, 2, 64, 2, 1, 4];0.0324349;0.015394587458629585
[2, 64, 2, 4, 8, 1, 64];0.036855;0.013548281230820913
[2, 1, 16, 4, 1, 16, 4];0.00254297;0.19635383223628466
[2, 4, 2, 2, 2, 16, 128];0.00302601;0.1650099982359294
[4, 4, 4, 32, 1, 1, 64];0.0327652;0.015239397432700082
[4, 32, 2, 1, 2, 4, 4];0.00795412;0.06277525417794863
[1, 64, 2, 8, 1, 32, 256];0.00222802;0.22411015375171894
[8, 8, 1, 16, 8, 2, 512];0.03247;0.015377945942775017
[1, 1, 1, 1, 2, 1, 128];0.0684571;0.007293938901325132
