i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
64,8,8,512,64,16,16,16,1,[64; 8; 8; 512; 64; 16; 16; 16; 1],0.07234166402486153,0.09663182013983328,tvm
4,4,4,2048,32,16,7168,16,1,[4; 4; 4; 2048; 32; 16; 7168; 16; 1],0.08669835797627456,0.0806302083435035,tvm
16,2,1,512,256,16,28,4,1,[16; 2; 1; 512; 256; 16; 28; 4; 1],0.1448059600079432,0.04827499273015564,tvm
8,4,4,1024,512,64,1792,8,4,[8; 4; 4; 1024; 512; 64; 1792; 8; 4],0.06861917249625549,0.10187395755972042,tvm
32,4,1,256,128,16,1024,4,1,[32; 4; 1; 256; 128; 16; 1024; 4; 1],0.18933596700662747,0.0369211765581865,tvm
32,8,2,512,32,32,28,14,2,[32; 8; 2; 512; 32; 32; 28; 14; 2],0.059871511009987444,0.11675848076559397,tvm
64,32,1,512,16,16,128,16,1,[64; 32; 1; 512; 16; 16; 128; 16; 1],0.33671367703936994,0.02076098223313129,tvm
16,4,1,128,32,32,1792,8,2,[16; 4; 1; 128; 32; 32; 1792; 8; 2],0.1591080569778569,0.043935591945790255,tvm
32,32,2,512,128,16,16,4,1,[32; 32; 2; 512; 128; 16; 16; 4; 1],0.026283159997547045,0.26596903368236835,tvm
8,4,1,64,64,64,2,1,4,[8; 4; 1; 64; 64; 64; 2; 1; 4],0.06865167149226181,0.10182573147479175,tvm
32,8,4,512,512,64,14336,64,4,[32; 8; 4; 512; 512; 64; 14336; 64; 4],0.07981478300644085,0.08758410915058869,tvm
1,1,1,1024,128,32,112,8,2,[1; 1; 1; 1024; 128; 32; 112; 8; 2],0.25669750396627933,0.027232468406023006,tvm
32,32,8,1024,1024,32,896,16,2,[32; 32; 8; 1024; 1024; 32; 896; 16; 2],0.04958443174837157,0.14098188524458075,tvm
32,1,1,256,64,32,2,1,2,[32; 1; 1; 256; 64; 32; 2; 1; 2],0.28697498701512814,0.024359289077337448,tvm
64,64,1,512,64,16,224,8,1,[64; 64; 1; 512; 64; 16; 224; 8; 1],0.22925023699644953,0.030492909225541744,tvm
8,1,1,2048,256,32,448,32,2,[8; 1; 1; 2048; 256; 32; 448; 32; 2],0.2672634000191465,0.026155869700699285,tvm
16,4,2,128,64,16,128,64,1,[16; 4; 2; 128; 64; 16; 128; 64; 1],0.11305863299639896,0.06183080832835934,tvm
64,8,1,4096,4096,16,14336,8,1,[64; 8; 1; 4096; 4096; 16; 14336; 8; 1],2.6352637030067854,0.0026526782343226723,tvm
64,4,4,2048,2048,16,2048,64,1,[64; 4; 4; 2048; 2048; 16; 2048; 64; 1],0.2964011429576203,0.02358461440773248,tvm
64,32,1,512,512,32,1792,7,2,[64; 32; 1; 512; 512; 32; 1792; 7; 2],0.12428065499989316,0.05624774560990748,tvm
32,32,1,4096,256,64,14336,2,4,[32; 32; 1; 4096; 256; 64; 14336; 2; 4],1.0525814500288107,0.006641297608346914,tvm
64,1,1,128,32,16,64,4,1,[64; 1; 1; 128; 32; 16; 64; 4; 1],0.455020476016216,0.01536305954375895,tvm
64,64,2,1024,512,32,128,1,2,[64; 64; 2; 1024; 512; 32; 128; 1; 2],0.09933591849403456,0.0703723967387131,tvm
32,4,1,4096,2048,128,1024,64,8,[32; 4; 1; 4096; 2048; 128; 1024; 64; 8],0.6121508819633164,0.011419581140267929,tvm
32,4,1,4096,128,16,512,32,1,[32; 4; 1; 4096; 128; 16; 512; 32; 1],0.6271280510118231,0.011146856938368518,tvm
1,1,1,256,128,32,448,4,2,[1; 1; 1; 256; 128; 32; 448; 4; 2],0.2650929079973139,0.026370025209190052,tvm
32,16,2,4096,1024,128,8,8,8,[32; 16; 2; 4096; 1024; 128; 8; 8; 8],0.08800411250558682,0.07943386357339703,tvm
32,4,2,1024,1024,16,14,1,1,[32; 4; 2; 1024; 1024; 16; 14; 1; 1],0.04898569826036692,0.1427050530036541,tvm
8,8,2,4096,512,128,56,28,8,[8; 8; 2; 4096; 512; 128; 56; 28; 8],0.04054594699118752,0.17240950539855493,tvm
32,32,8,4096,4096,16,56,7,1,[32; 32; 8; 4096; 4096; 16; 56; 7; 1],0.14908904198091477,0.046888131909530534,tvm
8,8,4,32,16,16,224,14,1,[8; 8; 4; 32; 16; 16; 224; 14; 1],0.05729574750876054,0.12200742586695139,tvm
64,8,1,128,32,16,32,16,1,[64; 8; 1; 128; 32; 16; 32; 16; 1],0.08548392649390735,0.08177568524727158,tvm
64,4,2,1024,64,32,448,1,2,[64; 4; 2; 1024; 64; 32; 448; 1; 2],0.23150558798806742,0.03019584420151008,tvm
64,64,1,2048,64,16,112,28,1,[64; 64; 1; 2048; 64; 16; 112; 28; 1],1.0054357610060833,0.006952713378397897,tvm
16,16,1,4096,2048,16,128,4,1,[16; 16; 1; 4096; 2048; 16; 128; 4; 1],0.18797426403034478,0.03718863698031655,tvm
32,16,1,2048,2048,32,128,64,2,[32; 16; 1; 2048; 2048; 32; 128; 64; 2],0.186188357998617,0.037545347849936954,tvm
32,2,1,2048,1024,32,8,8,2,[32; 2; 1; 2048; 1024; 32; 8; 8; 2],0.15061141399201006,0.0464141892130268,tvm
4,4,2,4096,4096,32,3584,64,2,[4; 4; 2; 4096; 4096; 32; 3584; 64; 2],0.16653777397004887,0.04197550201387873,tvm
64,8,4,32,16,16,14336,56,1,[64; 8; 4; 32; 16; 16; 14336; 56; 1],0.15413811098551378,0.04535222744051696,tvm
64,32,2,2048,64,16,256,1,1,[64; 32; 2; 2048; 64; 16; 256; 1; 1],0.4319984759786166,0.01618178548160593,tvm
16,4,2,2048,128,64,3584,56,4,[16; 4; 2; 2048; 128; 64; 3584; 56; 4],0.13971159898210317,0.05003526348275593,tvm
64,32,2,256,128,128,2048,32,8,[64; 32; 2; 256; 128; 128; 2048; 32; 8],0.12013783998554572,0.05818738432044161,tvm
32,32,8,256,64,32,32,2,2,[32; 32; 8; 256; 64; 32; 32; 2; 2],0.043372373504098505,0.1611741784434761,tvm
16,2,2,1024,512,32,224,4,2,[16; 2; 2; 1024; 512; 32; 224; 4; 2],0.15008801699150354,0.046576047887036835,tvm
8,1,1,1024,128,32,112,2,2,[8; 1; 1; 1024; 128; 32; 112; 2; 2],0.25670256599551067,0.027231931397167723,tvm
16,8,1,256,64,32,1024,1,2,[16; 8; 1; 256; 64; 32; 1024; 1; 2],0.13368883851217106,0.052289381405840024,tvm
32,16,1,256,128,128,3584,7,8,[32; 16; 1; 256; 128; 128; 3584; 7; 8],0.26618990499991924,0.02626135152145904,tvm
