kc,ku,mc,mr,nc,nr,X,time,peak,backend
2048,64,1,1,512,64,[2048; 64; 1; 1; 512; 64],0.11759463301859796,0.05944579686354475,tvm
448,32,1,1,32,16,[448; 32; 1; 1; 32; 16],0.4299597550416365,0.01625851392996007,tvm
128,4,1,1,512,16,[128; 4; 1; 1; 512; 16],0.12028436799300835,0.058116501614515675,tvm
14336,14,4,1,512,128,[14336; 14; 4; 1; 512; 128],0.3256102909799665,0.021468936518031504,tvm
56,2,2,1,4096,128,[56; 2; 2; 1; 4096; 128],0.1973107079975307,0.03542892698329455,tvm
512,32,32,1,4096,64,[512; 32; 32; 1; 4096; 64],0.9288974869996309,0.007525595412305647,tvm
32,32,32,1,256,16,[32; 32; 32; 1; 256; 16],0.030203632995835505,0.23144588823571396,tvm
896,1,16,1,64,16,[896; 1; 16; 1; 64; 16],0.273133443959523,0.0255937411593676,tvm
7168,64,1,1,128,128,[7168; 64; 1; 1; 128; 128],0.37879744201200083,0.018454471681583314,tvm
7168,32,32,1,64,64,[7168; 32; 32; 1; 64; 64],0.5671835969551466,0.012324945051645211,tvm
1792,8,1,1,512,128,[1792; 8; 1; 1; 512; 128],0.10489567101467401,0.06664247055237155,tvm
14336,28,16,1,512,128,[14336; 28; 16; 1; 512; 128],0.35105016600573435,0.01991312736354746,tvm
14336,14,32,1,256,16,[14336; 14; 32; 1; 256; 16],0.5030193499987945,0.013897092958120636,tvm
56,14,8,1,1024,64,[56; 14; 8; 1; 1024; 64],0.05324765999102965,0.13128288957382014,tvm
7168,14,64,1,128,64,[7168; 14; 64; 1; 128; 64],0.5287049869657494,0.013221941988452487,tvm
896,56,32,1,1024,128,[896; 56; 32; 1; 1024; 128],0.20029165601590648,0.034901636971394874,tvm
448,14,4,1,2048,64,[448; 14; 4; 1; 2048; 64],0.3657233699923381,0.019114191873527572,tvm
256,32,1,1,1024,64,[256; 32; 1; 1; 1024; 64],0.18543807399692014,0.03769725664203549,tvm
28,4,4,1,4096,16,[28; 4; 4; 1; 4096; 16],0.2396486140205525,0.029169818883522332,tvm
14336,2,32,1,1024,128,[14336; 2; 32; 1; 1024; 128],0.5604151779552922,0.012473799678609603,tvm
2,1,4,1,64,16,[2; 1; 4; 1; 64; 16],0.03252954450726975,0.21489715803135265,tvm
3584,56,8,1,256,128,[3584; 56; 8; 1; 256; 128],0.30548071797238663,0.022883626544633696,tvm
112,2,4,1,512,64,[112; 2; 4; 1; 512; 64],0.09472693648422137,0.07379639758360677,tvm
