i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
16,4,4,16,16,16,8,2,1,[16; 4; 4; 16; 16; 16; 8; 2; 1],0.07768585049780086,0.08998429729316737,tvm
64,8,2,512,32,32,2,2,2,[64; 8; 2; 512; 32; 32; 2; 2; 2],0.07552632049191743,0.09255722536376927,tvm
32,8,1,14336,1024,32,4096,1,2,[32; 8; 1; 14336; 1024; 32; 4096; 1; 2],0.839866506983526,0.008323354495673186,tvm
64,16,4,448,64,64,4096,32,4,[64; 16; 4; 448; 64; 64; 4096; 32; 4],0.07544013950973749,0.09266296048888353,tvm
64,32,1,14336,128,64,512,32,4,[64; 32; 1; 14336; 128; 64; 512; 32; 4],0.9362127159838565,0.007466793120108835,tvm
16,16,8,448,224,32,128,16,2,[16; 16; 8; 448; 224; 32; 128; 16; 2],0.035868085993570276,0.1948948897892067,tvm
4,2,1,64,16,16,4096,4,1,[4; 2; 1; 64; 16; 16; 4096; 4; 1],0.24211197503609583,0.028873031437724097,tvm
1,1,1,7168,224,224,1024,64,14,[1; 1; 1; 7168; 224; 224; 1024; 64; 14],0.1902929490315728,0.03673550019715562,tvm
32,16,4,2048,1024,16,32,16,1,[32; 16; 4; 2048; 1024; 16; 32; 16; 1],0.031889191261143424,0.21921241618894585,tvm
32,4,1,14336,448,112,1024,1,7,[32; 4; 1; 14336; 448; 112; 1024; 1; 7],0.5671559409820475,0.012325546047463411,tvm
32,16,2,896,32,16,512,4,1,[32; 16; 2; 896; 32; 16; 512; 4; 1],0.06428904348285869,0.10873558366956475,tvm
64,8,1,448,64,16,64,4,1,[64; 8; 1; 448; 64; 16; 64; 4; 1],0.09332696499768645,0.07490339653539532,tvm
32,16,8,448,16,16,32,16,1,[32; 16; 8; 448; 16; 16; 32; 16; 1],0.04275455699826125,0.1635031949214433,tvm
64,64,4,3584,64,32,4096,8,2,[64; 64; 4; 3584; 64; 32; 4096; 8; 2],0.12608248996548355,0.055443913493304214,tvm
16,1,1,1792,128,16,16,1,1,[16; 1; 1; 1792; 128; 16; 16; 1; 1],0.24073050497099757,0.0290387238937951,tvm
32,8,4,2048,2048,32,512,16,2,[32; 8; 4; 2048; 2048; 32; 512; 16; 2],0.08882385151810013,0.07870078303508571,tvm
64,8,1,1792,224,112,4,4,7,[64; 8; 1; 1792; 224; 112; 4; 4; 7],0.04918637724767905,0.14212282054166792,tvm
16,2,1,256,32,32,8,2,2,[16; 2; 1; 256; 32; 32; 8; 2; 2],0.09996930547640659,0.06992653028200213,tvm
8,4,4,7168,1024,16,2048,32,1,[8; 4; 4; 7168; 1024; 16; 2048; 32; 1],0.09721728001022711,0.07190600956878526,tvm
64,2,2,1792,896,128,2048,8,8,[64; 2; 2; 1792; 896; 128; 2048; 8; 8],0.14497660199413076,0.04821817155674314,tvm
16,8,1,2048,2048,32,4096,64,2,[16; 8; 1; 2048; 2048; 32; 4096; 64; 2],0.36111941596027464,0.019357880960451226,tvm
32,32,2,1792,256,128,128,32,8,[32; 32; 2; 1792; 256; 128; 128; 32; 8],0.02069008162652608,0.33786752478078025,tvm
64,64,8,1792,256,32,2048,1,2,[64; 64; 8; 1792; 256; 32; 2048; 1; 2],0.06657805450959131,0.1049971603730116,tvm
64,64,2,512,256,32,2048,64,2,[64; 64; 2; 512; 256; 32; 2048; 64; 2],0.13501409202581272,0.05177612619377675,tvm
64,32,1,7168,7168,224,128,2,14,[64; 32; 1; 7168; 7168; 224; 128; 2; 14],0.38531699404120445,0.01814222257199257,tvm
32,32,2,256,16,16,128,16,1,[32; 32; 2; 256; 16; 16; 128; 16; 1],0.0429658329958329,0.16269920025394716,tvm
16,4,4,7168,1792,32,2048,64,2,[16; 4; 4; 7168; 1792; 32; 2048; 64; 2],0.08369640100863762,0.08352218951380279,tvm
16,8,8,448,32,32,8,4,2,[16; 8; 8; 448; 32; 32; 8; 4; 2],0.05427509898436256,0.12879767697302097,tvm
64,32,1,7168,224,112,64,32,7,[64; 32; 1; 7168; 224; 112; 64; 32; 7],0.11750315700192004,0.05949207531975025,tvm
8,4,2,7168,896,16,128,8,1,[8; 4; 2; 7168; 896; 16; 128; 8; 1],0.1286005880101584,0.05435827918698532,tvm
64,2,1,14336,896,32,1024,2,2,[64; 2; 1; 14336; 896; 32; 1024; 2; 2],2.201586635026615,0.0031752130738121774,tvm
32,4,4,1792,64,16,256,16,1,[32; 4; 4; 1792; 64; 16; 256; 16; 1],0.10067681048531085,0.0694351224772522,tvm
8,2,2,2048,2048,32,2048,8,2,[8; 2; 2; 2048; 2048; 32; 2048; 8; 2],0.10998574603581801,0.06355829658499688,tvm
2,2,2,224,32,16,1024,2,1,[2; 2; 2; 224; 32; 16; 1024; 2; 1],0.228840260009747,0.03054753855973123,tvm
32,32,1,7168,224,224,16,2,14,[32; 32; 1; 7168; 224; 224; 16; 2; 14],0.07300097847473808,0.09575908176471533,tvm
16,16,16,1792,896,16,256,64,1,[16; 16; 16; 1792; 896; 16; 256; 64; 1],0.08007126598386094,0.08730356115607894,tvm
32,1,1,512,128,64,1024,8,4,[32; 1; 1; 512; 128; 64; 1024; 8; 4],0.17516488197725266,0.03990815160983279,tvm
4,4,1,1792,112,16,16,8,1,[4; 4; 1; 1792; 112; 16; 16; 8; 1],0.10287205199711025,0.06795340941447377,tvm
16,8,4,14336,128,32,32,8,2,[16; 8; 4; 14336; 128; 32; 32; 8; 2],0.06834463399718516,0.10228318242152819,tvm
32,8,2,1792,448,112,16,4,7,[32; 8; 2; 1792; 448; 112; 16; 4; 7],0.043769290001364425,0.15971258995630844,tvm
8,4,2,512,256,32,128,8,2,[8; 4; 2; 512; 256; 32; 128; 8; 2],0.0784664599923417,0.08908910466139212,tvm
64,4,1,3584,128,128,8,4,8,[64; 4; 1; 3584; 128; 128; 8; 4; 8],0.16565060301218182,0.04220030920233107,tvm
4,4,2,1792,448,112,8,1,7,[4; 4; 2; 1792; 448; 112; 8; 1; 7],0.05520667100790888,0.12662431077695682,tvm
16,16,8,2048,128,16,256,64,1,[16; 16; 8; 2048; 128; 16; 256; 64; 1],0.07853743701707572,0.08900859172609339,tvm
16,16,2,7168,128,64,32,8,4,[16; 16; 2; 7168; 128; 64; 32; 8; 4],0.02588130124786403,0.27009873266103995,tvm
32,1,1,14336,1792,64,8,8,4,[32; 1; 1; 14336; 1792; 64; 8; 8; 4],0.5808745910180733,0.012034450765723312,tvm
64,64,1,1024,1024,16,1024,64,1,[64; 64; 1; 1024; 1024; 16; 1024; 64; 1],0.20871006103698164,0.03349386527862693,tvm
64,64,2,7168,256,32,256,16,2,[64; 64; 2; 7168; 256; 32; 256; 16; 2],0.2866236429545097,0.024389148761800282,tvm
