kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
256,4,64,4,2048,32,2,[256; 4; 64; 4; 2048; 32; 2],0.04780192374892067,0.14623902383896228,tvm
32,8,8,1,2048,128,8,[32; 8; 8; 1; 2048; 128; 8],0.02863063249969855,0.24416179652127035,tvm
2,1,16,16,1024,16,1,[2; 1; 16; 16; 1024; 16; 1],0.16900990501744673,0.04136152059221052,tvm
64,32,16,2,128,128,8,[64; 32; 16; 2; 128; 128; 8],0.017433589622669388,0.4009791912032112,tvm
8,8,2,1,896,64,4,[8; 8; 2; 1; 896; 64; 4],0.019455185502010863,0.3593132877578647,tvm
8,1,2,2,1024,16,1,[8; 1; 2; 2; 1024; 16; 1],0.018897975751315244,0.3699076958642064,tvm
64,32,32,1,1792,128,8,[64; 32; 32; 1; 1792; 128; 8],0.024973578372737393,0.2799161002212606,tvm
64,8,32,8,256,32,2,[64; 8; 32; 8; 256; 32; 2],0.021063368374598213,0.3318798086965524,tvm
64,1,64,8,16,16,1,[64; 1; 64; 8; 16; 16; 1],0.040213016007328406,0.17383691552488179,tvm
64,16,32,8,128,32,2,[64; 16; 32; 8; 128; 32; 2],0.018048276127956342,0.38732267930223774,tvm
4,4,32,1,7168,64,4,[4; 4; 32; 1; 7168; 64; 4],0.1395456280442886,0.05009477376423459,tvm
64,4,8,2,128,64,4,[64; 4; 8; 2; 128; 64; 4],0.018547520754509605,0.37689709364347307,tvm
32,32,8,4,64,32,2,[32; 32; 8; 4; 64; 32; 2],0.020243522747477982,0.34532066152061264,tvm
16,4,16,16,14336,16,1,[16; 4; 16; 16; 14336; 16; 1],0.7627204850432463,0.009165227371951738,tvm
2,1,2,1,896,112,7,[2; 1; 2; 1; 896; 112; 7],0.029534056739066727,0.236693073641314,tvm
16,2,2,1,1792,64,4,[16; 2; 2; 1; 1792; 64; 4],0.026198333987849765,0.2668301988175552,tvm
32,1,16,2,1024,128,8,[32; 1; 16; 2; 1024; 128; 8],0.01733408212021459,0.4032810401027526,tvm
4,1,8,2,32,16,1,[4; 1; 8; 2; 32; 16; 1],0.027735149749787524,0.2520450305742524,tvm
8,1,4,4,3584,16,1,[8; 1; 4; 4; 3584; 16; 1],0.040260098001454026,0.17363362271036198,tvm
8,1,4,4,2048,16,1,[8; 1; 4; 4; 2048; 16; 1],0.05443386099068448,0.12842202517772872,tvm
2,1,16,1,1792,112,7,[2; 1; 16; 1; 1792; 112; 7],0.030889624744304456,0.22630597569676214,tvm
2,2,2,1,1792,32,2,[2; 2; 2; 1; 1792; 32; 2],0.027910539996810257,0.25046117586637784,tvm
32,8,16,2,14336,128,8,[32; 8; 16; 2; 14336; 128; 8],0.14976892998674884,0.04667527949411916,tvm
256,32,8,8,32,16,1,[256; 32; 8; 8; 32; 16; 1],0.043183567744563334,0.16187885882927652,tvm
32,1,64,2,7168,64,4,[32; 1; 64; 2; 7168; 64; 4],0.07681148100527935,0.09100861713870874,tvm
16,16,16,4,224,32,2,[16; 16; 16; 4; 224; 32; 2],0.016471522249048576,0.42439955220717085,tvm
64,32,64,2,128,64,4,[64; 32; 64; 2; 128; 64; 4],0.019141860626405105,0.3651947322729778,tvm
32,2,4,1,128,128,8,[32; 2; 4; 1; 128; 128; 8],0.028068020998034626,0.24905591552593448,tvm
512,1,64,16,128,16,1,[512; 1; 64; 16; 128; 16; 1],0.06956949399318546,0.10048235606473446,tvm
2,1,32,4,14336,16,1,[2; 1; 32; 4; 14336; 16; 1],1.1858014119789004,0.005895174854785088,tvm
32,8,4,4,512,32,2,[32; 8; 4; 4; 512; 32; 2],0.022682740498567,0.30818615885978584,tvm
8,4,4,4,448,64,4,[8; 4; 4; 4; 448; 64; 4],0.018022955002379604,0.38786684346399897,tvm
4,2,8,1,7168,32,2,[4; 2; 8; 1; 7168; 32; 2],0.13706997502595186,0.05099954724105796,tvm
64,16,8,2,3584,112,7,[64; 16; 8; 2; 3584; 112; 7],0.043109593738336116,0.16215663522827892,tvm
2,1,16,1,896,128,8,[2; 1; 16; 1; 896; 128; 8],0.028237536986125633,0.2475607794724241,tvm
256,1,16,8,256,16,1,[256; 1; 16; 8; 256; 16; 1],0.06143563750083558,0.11378585705359677,tvm
1,1,4,1,7168,112,7,[1; 1; 4; 1; 7168; 112; 7],0.3832806959981099,0.018238608778515523,tvm
4,1,32,1,3584,16,1,[4; 1; 32; 1; 3584; 16; 1],0.06796124001266435,0.10286019892167961,tvm
8,4,16,2,256,16,1,[8; 4; 16; 2; 256; 16; 1],0.021752763001131825,0.32136178131959336,tvm
128,128,32,4,64,64,4,[128; 128; 32; 4; 64; 64; 4],0.024080028750177007,0.2903030863954131,tvm
8,2,32,1,1024,16,1,[8; 2; 32; 1; 1024; 16; 1],0.03173375999904238,0.2202861138067981,tvm
8,2,64,2,896,16,1,[8; 2; 64; 2; 896; 16; 1],0.024032175249885768,0.2908811455467351,tvm
128,8,64,4,3584,32,2,[128; 8; 64; 4; 3584; 32; 2],0.036250804987503216,0.19283728096731956,tvm
16,2,8,8,1792,16,1,[16; 2; 8; 8; 1792; 16; 1],0.0331394997483585,0.2109418283241565,tvm
8,8,64,4,512,64,4,[8; 8; 64; 4; 512; 64; 4],0.018678128995816223,0.3742616119758298,tvm
16,1,16,8,16,16,1,[16; 1; 16; 8; 16; 16; 1],0.04071100374858361,0.17171049649960735,tvm
32,4,32,16,112,16,1,[32; 4; 32; 16; 112; 16; 1],0.035695598999154754,0.19583665389204413,tvm
8,1,4,1,1792,32,2,[8; 1; 4; 1; 1792; 32; 2],0.0172040221223142,0.40632978828827143,tvm
