kc,ku,mc,mr,nc,nr,X,time,peak,backend
64,16,2,1,16,16,[64; 16; 2; 1; 16; 16],0.041227795256418176,0.16955810086833137,tvm
512,64,4,1,7168,16,[512; 64; 4; 1; 7168; 16],0.49495222500991076,0.014123598831234048,tvm
2048,16,32,1,896,128,[2048; 16; 32; 1; 896; 128],0.14437006501248106,0.04842074890014301,tvm
64,1,64,1,1792,64,[64; 1; 64; 1; 1792; 64],0.02790012475452386,0.25055467415188504,tvm
32,16,2,1,2048,128,[32; 16; 2; 1; 2048; 128],0.028289449750445783,0.24710649123023368,tvm
128,2,1,1,128,128,[128; 2; 1; 1; 128; 128],0.03224505975958891,0.21679310625522585,tvm
256,16,4,1,896,16,[256; 16; 4; 1; 896; 16],0.12332554999738932,0.05668336096465533,tvm
8,8,1,1,14336,64,[8; 8; 1; 1; 14336; 64],0.25072657101554796,0.02788099657069523,tvm
256,16,32,1,256,128,[256; 16; 32; 1; 256; 128],0.14043545600725338,0.04977736296384876,tvm
8,1,2,1,32,16,[8; 1; 2; 1; 32; 16],0.022195515630301088,0.3149513074219055,tvm
4,1,8,1,512,16,[4; 1; 8; 1; 512; 16],0.021726487248088233,0.3217504324028165,tvm
64,1,16,1,1024,128,[64; 1; 16; 1; 1024; 128],0.027307384487357922,0.25599327060791754,tvm
1024,2,64,1,512,64,[1024; 2; 64; 1; 512; 64],0.11573760199826211,0.060399615561169434,tvm
2048,2,2,1,512,16,[2048; 2; 2; 1; 512; 16],0.36582437297329307,0.019108914504110987,tvm
8,2,4,1,32,16,[8; 2; 4; 1; 32; 16],0.024165724498743657,0.289273622523922,tvm
512,16,16,1,256,64,[512; 16; 16; 1; 256; 64],0.1228461439604871,0.05690456730099018,tvm
16,2,4,1,64,16,[16; 2; 4; 1; 64; 16],0.03701113049464766,0.1888757942067615,tvm
512,2,8,1,7168,16,[512; 2; 8; 1; 7168; 16],0.4892224049544893,0.014289015784788044,tvm
4,4,64,1,128,16,[4; 4; 64; 1; 128; 16],0.028034825998474844,0.24935081341496343,tvm
1024,32,8,1,112,16,[1024; 32; 8; 1; 112; 16],0.16863216302590445,0.04145417185684097,tvm
2048,32,16,1,512,64,[2048; 32; 16; 1; 512; 64],0.18985545099712908,0.03682015254211676,tvm
512,8,32,1,224,16,[512; 8; 32; 1; 224; 16],0.16302548197563738,0.042879840512977795,tvm
64,64,32,1,3584,16,[64; 64; 32; 1; 3584; 16],0.09253538350458257,0.07554414756729766,tvm
16,2,4,1,896,16,[16; 2; 4; 1; 896; 16],0.029534234243328683,0.23669165108777832,tvm
8,4,32,1,2048,128,[8; 4; 32; 1; 2048; 128],0.016041719252825715,0.4357704156576175,tvm
32,1,1,1,1024,64,[32; 1; 1; 1; 1024; 64],0.03163266299816314,0.22099014133184405,tvm
128,32,32,1,2048,128,[128; 32; 32; 1; 2048; 128],0.036847714509349316,0.18971343975466853,tvm
256,2,1,1,1792,16,[256; 2; 1; 1; 1792; 16],0.12194261298282072,0.057326200379612086,tvm
1024,4,1,1,32,16,[1024; 4; 1; 1; 32; 16],0.16204181098146364,0.043140141574117115,tvm
64,32,16,1,224,16,[64; 32; 16; 1; 224; 16],0.04158717249811161,0.1680928576470086,tvm
4096,2,64,1,512,128,[4096; 2; 64; 1; 512; 128],0.33038636296987534,0.02115858113460955,tvm
256,1,4,1,256,16,[256; 1; 4; 1; 256; 16],0.18526032601948828,0.037733425266299636,tvm
8,4,16,1,896,64,[8; 4; 16; 1; 896; 64],0.015831686374440324,0.4415516137278075,tvm
128,1,4,1,32,16,[128; 1; 4; 1; 32; 16],0.06418156847939827,0.10891766643114308,tvm
4096,16,8,1,7168,128,[4096; 16; 8; 1; 7168; 128],0.8641400930355303,0.008089552519326566,tvm
128,4,64,1,896,64,[128; 4; 64; 1; 896; 64],0.029770399749395438,0.23481400066885655,tvm
4096,32,16,1,128,16,[4096; 32; 16; 1; 128; 16],0.37462496903026477,0.018660012664831013,tvm
32,32,32,1,256,128,[32; 32; 32; 1; 256; 128],0.014389803625817876,0.48579583491497064,tvm
128,32,2,1,16,16,[128; 32; 2; 1; 16; 16],0.061599995504366234,0.11348225936430753,tvm
512,2,8,1,14336,16,[512; 2; 8; 1; 14336; 16],0.968499934009742,0.007217870049536163,tvm
128,64,8,1,1024,64,[128; 64; 8; 1; 1024; 64],0.037710099248215556,0.1853749209370606,tvm
512,64,8,1,1024,128,[512; 64; 8; 1; 1024; 128],0.10807290097000077,0.0646832518043271,tvm
16,2,4,1,128,16,[16; 2; 4; 1; 128; 16],0.03381355450255796,0.2067368181046403,tvm
4096,32,16,1,256,64,[4096; 32; 16; 1; 256; 64],0.2420926799532026,0.028875332653667832,tvm
8,2,4,1,512,128,[8; 2; 4; 1; 512; 128],0.021682704253180418,0.3224001298473321,tvm
512,8,1,1,14336,16,[512; 8; 1; 1; 14336; 16],1.0129608599818312,0.006901062955968556,tvm
512,32,4,1,896,64,[512; 32; 4; 1; 896; 64],0.09579064999707043,0.0729769206794239,tvm
1024,64,64,1,3584,128,[1024; 64; 64; 1; 3584; 128],0.20011691097170115,0.03493211359661256,tvm
1,1,32,1,896,64,[1; 1; 32; 1; 896; 64],0.054925768985413015,0.12727189433657596,tvm
1024,8,4,1,64,16,[1024; 8; 4; 1; 64; 16],0.13179768697591498,0.05303967639389702,tvm
32,8,64,1,7168,16,[32; 8; 64; 1; 7168; 16],0.14566408103564754,0.04799060013261553,tvm
32,4,2,1,7168,128,[32; 4; 2; 1; 7168; 128],0.12901993200648576,0.05418160246988239,tvm
256,2,4,1,512,64,[256; 2; 4; 1; 512; 64],0.1076362730236724,0.06494564025948063,tvm
2,1,4,1,1792,128,[2; 1; 4; 1; 1792; 128],0.02977790925069712,0.23475478442137485,tvm
8,2,8,1,128,128,[8; 2; 8; 1; 128; 128],0.015972361747117247,0.4376626811578657,tvm
1024,16,4,1,3584,16,[1024; 16; 4; 1; 3584; 16],0.3580574110383168,0.019523424040840735,tvm
1024,2,8,1,448,64,[1024; 2; 8; 1; 448; 64],0.09713934001047164,0.07196370354084235,tvm
4,2,16,1,1024,128,[4; 2; 16; 1; 1024; 128],0.02206463475158671,0.31681950530198405,tvm
64,8,32,1,1024,16,[64; 8; 32; 1; 1024; 16],0.047291971000959165,0.1478159298229479,tvm
1024,16,8,1,3584,128,[1024; 16; 8; 1; 3584; 128],0.250728792976588,0.027880749489028214,tvm
4096,64,2,1,112,16,[4096; 64; 2; 1; 112; 16],0.26803651405498385,0.026080426733324343,tvm
128,1,64,1,896,128,[128; 1; 64; 1; 896; 128],0.028457886757678352,0.24564391327407775,tvm
512,32,32,1,16,16,[512; 32; 32; 1; 16; 16],0.18962950800778344,0.03686402364330206,tvm
2048,2,64,1,16,16,[2048; 2; 64; 1; 16; 16],0.22887264197925106,0.03054321655141468,tvm
64,4,8,1,7168,16,[64; 4; 8; 1; 7168; 16],0.26605425198795274,0.0262747413898997,tvm
4096,16,64,1,7168,128,[4096; 16; 64; 1; 7168; 128],0.700325200043153,0.009981800835149044,tvm
8,4,4,1,112,16,[8; 4; 4; 1; 112; 16],0.01889669975207653,0.36993267387330375,tvm
4,2,4,1,896,128,[4; 2; 4; 1; 896; 128],0.020289087755372748,0.34454514421504795,tvm
2048,1,2,1,512,128,[2048; 1; 2; 1; 512; 128],0.2532416970352642,0.027604090276228208,tvm
256,2,2,1,256,64,[256; 2; 2; 1; 256; 64],0.12382420798530802,0.05645508887483539,tvm
256,4,16,1,448,64,[256; 4; 16; 1; 448; 64],0.09571031300583854,0.07303817579449594,tvm
512,8,16,1,2048,64,[512; 8; 16; 1; 2048; 64],0.10901611298322678,0.06412360957817517,tvm
32,4,8,1,16,16,[32; 4; 8; 1; 16; 16],0.03092405949428212,0.22605397806711686,tvm
4,1,2,1,16,16,[4; 1; 2; 1; 16; 16],0.0399688234901987,0.17489898516479735,tvm
32,1,8,1,14336,128,[32; 1; 8; 1; 14336; 128],0.2473683930002153,0.028259498240183752,tvm
4,2,64,1,256,64,[4; 2; 64; 1; 256; 64],0.018542040372267365,0.3770084913158805,tvm
4,4,1,1,32,16,[4; 4; 1; 1; 32; 16],0.02139944575174013,0.32666765054409047,tvm
64,4,64,1,32,16,[64; 4; 64; 1; 32; 16],0.06055103399557993,0.11544817991344221,tvm
32,4,32,1,128,16,[32; 4; 32; 1; 128; 16],0.02979477250482887,0.23462191783923533,tvm
32,1,1,1,14336,16,[32; 1; 1; 1; 14336; 16],0.7334720410290174,0.009530706387743702,tvm
8,4,8,1,1024,16,[8; 4; 8; 1; 1024; 16],0.03437222550564911,0.20337660898674628,tvm
8,2,2,1,112,16,[8; 2; 2; 1; 112; 16],0.018833403126336634,0.37117596962022975,tvm
64,8,2,1,128,128,[64; 8; 2; 1; 128; 128],0.02696563900099136,0.25923756772126444,tvm
256,1,16,1,1792,128,[256; 1; 16; 1; 1792; 128],0.09648969399859197,0.07244822091329957,tvm
512,64,2,1,2048,16,[512; 64; 2; 1; 2048; 16],0.1414623919990845,0.04941600780164884,tvm
1,1,8,1,128,64,[1; 1; 8; 1; 128; 64],0.027787891507614404,0.25156664602462325,tvm
32,2,8,1,32,16,[32; 2; 8; 1; 32; 16],0.03262430525501259,0.2142729664899946,tvm
2,2,32,1,7168,16,[2; 2; 32; 1; 7168; 16],0.3682539989822544,0.018982839795321622,tvm
4,2,16,1,7168,16,[4; 2; 16; 1; 7168; 16],0.18233341700397432,0.0383391414559751,tvm
2048,4,8,1,128,16,[2048; 4; 8; 1; 128; 16],0.23353528999723494,0.029933406067877085,tvm
64,1,2,1,1024,16,[64; 1; 2; 1; 1024; 16],0.06665603749570437,0.10487432090629702,tvm
32,16,32,1,2048,16,[32; 16; 32; 1; 2048; 16],0.03747829199710395,0.18652148468256882,tvm
64,1,8,1,896,128,[64; 1; 8; 1; 896; 128],0.025012116006109864,0.2794848170766141,tvm
256,1,64,1,7168,16,[256; 1; 64; 1; 7168; 16],0.7447881499538198,0.009385899422674903,tvm
1024,4,1,1,14336,16,[1024; 4; 1; 1; 14336; 16],2.6165256859967485,0.0026716751546062806,tvm
4096,16,16,1,512,16,[4096; 16; 16; 1; 512; 16],0.4068165370263159,0.017183437816379793,tvm
16,16,1,1,224,16,[16; 16; 1; 1; 224; 16],0.027771537250373513,0.2517147899896196,tvm
2048,4,16,1,1024,64,[2048; 4; 16; 1; 1024; 64],0.17627592699136585,0.03965661554574646,tvm
64,64,4,1,3584,16,[64; 64; 4; 1; 3584; 16],0.10981313401134685,0.06365820199562237,tvm
32,16,4,1,1792,128,[32; 16; 4; 1; 1792; 128],0.02482126337417867,0.28163379765507124,tvm
256,32,16,1,1792,16,[256; 32; 16; 1; 1792; 16],0.12346691399579868,0.05661846109561416,tvm
8,4,16,1,7168,16,[8; 4; 16; 1; 7168; 16],0.10532797401538119,0.06636894644575461,tvm
256,4,4,1,14336,64,[256; 4; 4; 1; 14336; 64],0.7317907069809735,0.009552603770422599,tvm
