kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
8,1,8,1,32,16,1,[8; 1; 8; 1; 32; 16; 1],0.0015260116092576936,0.32720714687406127,tvm
8,2,32,1,128,64,4,[8; 2; 32; 1; 128; 64; 4],0.0009607486249478825,0.5197216959732743,tvm
256,128,64,4,64,32,2,[256; 128; 64; 4; 64; 32; 2],0.0028105730461902567,0.1776583979693172,tvm
128,2,16,4,256,64,4,[128; 2; 16; 4; 256; 64; 4],0.0036235573134035803,0.13779881524569992,tvm
128,64,64,8,16,16,1,[128; 64; 64; 8; 16; 16; 1],0.0017159562494271086,0.29098754990321524,tvm
16,4,8,8,256,32,2,[16; 4; 8; 8; 256; 32; 2],0.0048499911554245045,0.10295315780183123,tvm
2,1,64,4,256,64,4,[2; 1; 64; 4; 256; 64; 4],0.004455543781659799,0.11206755656116461,tvm
32,16,4,4,256,64,4,[32; 16; 4; 4; 256; 64; 4],0.003146742248645751,0.15867899729531254,tvm
2,1,64,8,64,32,2,[2; 1; 64; 8; 64; 32; 2],0.0019450940626484226,0.25670835891711713,tvm
8,1,2,1,64,64,4,[8; 1; 2; 1; 64; 64; 4],0.0016510009845660534,0.30243586129244243,tvm
2,1,1,1,64,32,2,[2; 1; 1; 1; 64; 32; 2],0.001380311640787113,0.361745775379515,tvm
64,64,64,16,64,16,1,[64; 64; 64; 16; 64; 16; 1],0.004906801093966351,0.10176118721745132,tvm
2,1,16,1,256,16,1,[2; 1; 16; 1; 256; 16; 1],0.008644246314361226,0.05776349800818958,tvm
64,8,16,8,256,32,2,[64; 8; 16; 8; 256; 32; 2],0.0020652500625146786,0.24177309751726778,tvm
64,8,64,1,256,128,8,[64; 8; 64; 1; 256; 128; 8],0.003207257999747526,0.15568498225001268,tvm
128,1,8,4,64,32,2,[128; 1; 8; 4; 64; 32; 2],0.006423575625376543,0.07773270431958759,tvm
64,4,32,2,1024,128,8,[64; 4; 32; 2; 1024; 128; 8],0.007039792501018383,0.07092849749330998,tvm
4,4,4,4,512,32,2,[4; 4; 4; 4; 512; 32; 2],0.004432503217685735,0.11265009414310295,tvm
512,64,32,16,16,16,1,[512; 64; 32; 16; 16; 16; 1],0.0025298003438365413,0.19737601268749277,tvm
2,1,16,4,1024,64,4,[2; 1; 16; 4; 1024; 64; 4],0.04136829475464765,0.012070159229993566,tvm
4,1,16,4,512,16,1,[4; 1; 16; 4; 512; 16; 1],0.011216867249459028,0.044515272727863146,tvm
4,4,1,1,512,128,8,[4; 4; 1; 1; 512; 128; 8],0.004142583657085197,0.12053393391534728,tvm
128,64,64,8,256,16,1,[128; 64; 64; 8; 256; 16; 1],0.0034350625610386487,0.1453603525086677,tvm
2,2,16,2,1024,32,2,[2; 2; 16; 2; 1024; 32; 2],0.02711434874800034,0.018415412053690922,tvm
16,8,8,4,64,64,4,[16; 8; 8; 4; 64; 64; 4],0.0011522688982950058,0.43333800426336555,tvm
128,1,64,8,256,32,2,[128; 1; 64; 8; 256; 32; 2],0.004263700029696338,0.11710999865941944,tvm
8,2,4,2,1024,16,1,[8; 2; 4; 2; 1024; 16; 1],0.008212709435611032,0.06079868144327632,tvm
512,8,64,16,16,16,1,[512; 8; 64; 16; 16; 16; 1],0.001838520296587376,0.27158900866568403,tvm
64,64,4,4,1024,32,2,[64; 64; 4; 4; 1024; 32; 2],0.008392084626393626,0.059499150329288444,tvm
2,1,2,2,256,128,8,[2; 1; 2; 2; 256; 128; 8],0.003585502905480098,0.1392613303976798,tvm
32,16,32,8,512,32,2,[32; 16; 32; 8; 512; 32; 2],0.0036847738756478066,0.1355095106546045,tvm
32,8,4,4,512,64,4,[32; 8; 4; 4; 512; 64; 4],0.003783658312386251,0.1319680223574406,tvm
32,4,4,2,1024,128,8,[32; 4; 4; 2; 1024; 128; 8],0.007622027125762543,0.06551038149342066,tvm
4,2,8,4,128,16,1,[4; 2; 8; 4; 128; 16; 1],0.0015409778980028932,0.32402924494181634,tvm
4,2,16,4,256,16,1,[4; 2; 16; 4; 256; 16; 1],0.0053767145618621726,0.09286747492672728,tvm
2,1,4,1,128,16,1,[2; 1; 4; 1; 128; 16; 1],0.0021303472803992918,0.2343852147281436,tvm
8,1,64,4,256,16,1,[8; 1; 64; 4; 256; 16; 1],0.0050776637490344,0.09833693789921771,tvm
512,256,32,16,1024,16,1,[512; 256; 32; 16; 1024; 16; 1],0.10702557803597301,0.004665444596749337,tvm
16,4,32,4,128,32,2,[16; 4; 32; 4; 128; 32; 2],0.0015429839768330567,0.32360796499439537,tvm
64,64,8,8,16,16,1,[64; 64; 8; 8; 16; 16; 1],0.003145223094179528,0.15875563984187244,tvm
16,2,8,4,16,16,1,[16; 2; 8; 4; 16; 16; 1],0.0024763723122305237,0.20163442399020945,tvm
