i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
1,1,1,3072,3072,64,64,4,4,[1; 1; 1; 3072; 3072; 64; 64; 4; 4],0.009667987185821403,0.08942384333074789,tvm
197,197,1,1536,32,16,96,32,1,[197; 197; 1; 1536; 32; 16; 96; 32; 1],0.02549415199609939,0.03391164262144697,tvm
1,1,1,96,96,48,96,32,3,[1; 1; 1; 96; 96; 48; 96; 32; 3],0.017760102877218742,0.04867925469832419,tvm
1,1,1,3072,384,64,48,24,4,[1; 1; 1; 3072; 384; 64; 48; 24; 4],0.0178980942509952,0.04830394562150098,tvm
1,1,1,1536,768,192,48,4,12,[1; 1; 1; 1536; 768; 192; 48; 4; 12],0.019040877879888285,0.04540486929658538,tvm
197,197,1,1536,384,16,32,2,1,[197; 197; 1; 1536; 384; 16; 32; 2; 1],0.020077592373127118,0.0430603707537029,tvm
197,1,1,3072,1536,96,8,1,6,[197; 1; 1; 3072; 1536; 96; 8; 1; 6],0.08829467699979432,0.009791627318944554,tvm
197,197,1,3072,384,32,48,4,2,[197; 197; 1; 3072; 384; 32; 48; 4; 2],0.032769705503596924,0.026382555416424945,tvm
197,1,1,96,96,48,768,32,3,[197; 1; 1; 96; 96; 48; 768; 32; 3],0.01132985343792825,0.0763071275515688,tvm
197,197,1,96,32,16,384,32,1,[197; 197; 1; 96; 32; 16; 384; 32; 1],0.013525451373425312,0.06392012714098612,tvm
197,1,1,3072,256,16,48,16,1,[197; 1; 1; 3072; 256; 16; 48; 16; 1],0.09848838049219921,0.00877817837097086,tvm
197,197,1,512,512,128,8,2,8,[197; 197; 1; 512; 512; 128; 8; 2; 8],0.0024613948280602926,0.35124335257902556,tvm
197,197,1,384,192,16,768,16,1,[197; 197; 1; 384; 192; 16; 768; 16; 1],0.028890510991914198,0.02992500103824882,tvm
197,1,1,768,96,32,768,4,2,[197; 1; 1; 768; 96; 32; 768; 4; 2],0.021983553495374508,0.03932706200617104,tvm
1,1,1,192,32,32,384,2,2,[1; 1; 1; 192; 32; 32; 384; 2; 2],0.01762113925360609,0.049063148471041415,tvm
197,1,1,3072,96,48,128,4,3,[197; 1; 1; 3072; 96; 48; 128; 4; 3],0.08626275850110687,0.010022269012154045,tvm
197,1,1,256,64,32,6,2,2,[197; 1; 1; 256; 64; 32; 6; 2; 2],0.014637380503700115,0.0590644324105687,tvm
1,1,1,1536,128,128,48,12,8,[1; 1; 1; 1536; 128; 128; 48; 12; 8],0.009560652313666651,0.09042778076896767,tvm
197,197,1,32,16,16,24,8,1,[197; 197; 1; 32; 16; 16; 24; 8; 1],0.007493876375519903,0.11536733835812597,tvm
1,1,1,3072,3072,128,8,8,8,[1; 1; 1; 3072; 3072; 128; 8; 8; 8],0.02051017413032241,0.04215218095834767,tvm
197,1,1,512,512,64,2,1,4,[197; 1; 1; 512; 512; 64; 2; 1; 4],0.03314510225027334,0.02608375032004741,tvm
197,1,1,1536,96,16,768,16,1,[197; 1; 1; 1536; 96; 16; 768; 16; 1],0.056421593006234616,0.015323008893652441,tvm
197,1,1,3072,96,96,48,4,6,[197; 1; 1; 3072; 96; 96; 48; 4; 6],0.0844733045087196,0.010234577378695183,tvm
1,1,1,1536,384,32,64,2,2,[1; 1; 1; 1536; 384; 32; 64; 2; 2],0.009717387623823015,0.08896923791627452,tvm
1,1,1,192,192,64,24,8,4,[1; 1; 1; 192; 192; 64; 24; 8; 4],0.011806657559645828,0.07322551425422266,tvm
1,1,1,3072,3072,48,24,1,3,[1; 1; 1; 3072; 3072; 48; 24; 1; 3],0.011936344126297627,0.07242993015959016,tvm
197,197,1,1536,768,96,768,48,6,[197; 197; 1; 1536; 768; 96; 768; 48; 6],0.0432390057540033,0.01999464502831513,tvm
197,1,1,3072,1024,128,768,64,8,[197; 1; 1; 3072; 1024; 128; 768; 64; 8],0.08494962900294922,0.010177190666701518,tvm
197,197,1,256,32,16,64,16,1,[197; 197; 1; 256; 32; 16; 64; 16; 1],0.006458254374592798,0.13386722189664174,tvm
197,197,1,128,128,64,32,2,4,[197; 197; 1; 128; 128; 64; 32; 2; 4],0.00307283725032903,0.28135189110194436,tvm
197,1,1,768,384,64,64,16,4,[197; 1; 1; 768; 384; 64; 64; 16; 4],0.06413723700097762,0.013479666600159177,tvm
1,1,1,1024,512,32,96,12,2,[1; 1; 1; 1024; 512; 32; 96; 12; 2],0.04645137225452345,0.018611905945241078,tvm
197,197,1,3072,3072,128,12,4,8,[197; 197; 1; 3072; 3072; 128; 12; 4; 8],0.028032904490828514,0.030840492169173,tvm
1,1,1,1024,32,32,768,24,2,[1; 1; 1; 1024; 32; 32; 768; 24; 2],0.009555030686897226,0.09048098323892599,tvm
1,1,1,3072,384,128,64,16,8,[1; 1; 1; 3072; 384; 128; 64; 16; 8],0.0138286080036778,0.06251884290874682,tvm
197,1,1,192,64,64,48,48,4,[197; 1; 1; 192; 64; 64; 48; 48; 4],0.01807219812326366,0.04783859525730135,tvm
1,1,1,768,768,48,96,16,3,[1; 1; 1; 768; 768; 48; 96; 16; 3],0.017760284747055266,0.04867875621036523,tvm
197,197,1,1536,384,48,4,2,3,[197; 197; 1; 1536; 384; 48; 4; 2; 3],0.0077561349389725365,0.1114664170016489,tvm
197,1,1,768,96,16,96,1,1,[197; 1; 1; 768; 96; 16; 96; 1; 1],0.05500064502120949,0.01571888058940367,tvm
197,1,1,768,768,32,24,2,2,[197; 1; 1; 768; 768; 32; 24; 2; 2],0.037645116753992625,0.022965756145167958,tvm
197,197,1,512,64,16,192,2,1,[197; 197; 1; 512; 64; 16; 192; 2; 1],0.008755584127356997,0.09874253491863234,tvm
197,1,1,64,32,16,24,12,1,[197; 1; 1; 64; 32; 16; 24; 12; 1],0.012435473498044303,0.06952277060978312,tvm
1,1,1,384,384,32,768,24,2,[1; 1; 1; 384; 384; 32; 768; 24; 2],0.02611744200112298,0.03310234483880152,tvm
197,1,1,1536,384,64,4,4,4,[197; 1; 1; 1536; 384; 64; 4; 4; 4],0.04144802025984973,0.020858621618317696,tvm
197,197,1,1536,128,64,192,8,4,[197; 197; 1; 1536; 128; 64; 192; 8; 4],0.011804075500549516,0.07324153182418429,tvm
197,1,1,768,256,128,48,16,8,[197; 1; 1; 768; 256; 128; 48; 16; 8],0.04263559549872298,0.02027762392704158,tvm
197,1,1,1024,128,128,24,4,8,[197; 1; 1; 1024; 128; 128; 24; 4; 8],0.05653156849439256,0.01529319979003107,tvm
197,197,1,3072,1536,32,32,8,2,[197; 197; 1; 3072; 1536; 32; 32; 8; 2],0.03151528924354352,0.02743267132176773,tvm
1,1,1,3072,192,96,48,6,6,[1; 1; 1; 3072; 192; 96; 48; 6; 6],0.009593164126272313,0.0901213155585315,tvm
1,1,1,3072,1024,64,768,6,4,[1; 1; 1; 3072; 1024; 64; 768; 6; 4],0.009621343877370236,0.08985736113870976,tvm
197,197,1,192,96,96,48,8,6,[197; 197; 1; 192; 96; 96; 48; 8; 6],0.008355423811735818,0.10347154027234959,tvm
1,1,1,3072,64,64,1,1,4,[1; 1; 1; 3072; 64; 64; 1; 1; 4],0.02647593049914576,0.03265413358961891,tvm
1,1,1,256,256,64,768,32,4,[1; 1; 1; 256; 256; 64; 768; 32; 4],0.035613196989288554,0.02427607304361367,tvm
1,1,1,1024,1024,16,48,16,1,[1; 1; 1; 1024; 1024; 16; 48; 16; 1],0.019755588880798314,0.04376222731932228,tvm
197,1,1,3072,96,96,384,12,6,[197; 1; 1; 3072; 96; 96; 384; 12; 6],0.08574221600429155,0.010083114383063054,tvm
197,1,1,384,96,32,256,4,2,[197; 1; 1; 384; 96; 32; 256; 4; 2],0.03219761425862089,0.026851323967181484,tvm
197,197,1,1536,512,16,8,8,1,[197; 197; 1; 1536; 512; 16; 8; 8; 1],0.007492652810469735,0.11538617807307294,tvm
1,1,1,3072,96,32,192,3,2,[1; 1; 1; 3072; 96; 32; 192; 3; 2],0.00969288718624739,0.0891941229497877,tvm
197,1,1,512,64,16,384,2,1,[197; 1; 1; 512; 64; 16; 384; 2; 1],0.056076049484545365,0.015417430068194125,tvm
197,197,1,768,384,48,12,12,3,[197; 197; 1; 768; 384; 48; 12; 12; 3],0.009408210000401596,0.09189299254498651,tvm
197,197,1,3072,128,64,6,3,4,[197; 197; 1; 3072; 128; 64; 6; 3; 4],0.014336761996673886,0.060302917187935866,tvm
197,1,1,1536,128,16,8,2,1,[197; 1; 1; 1536; 128; 16; 8; 2; 1],0.043123797004227526,0.02004806235739904,tvm
1,1,1,1536,256,16,256,2,1,[1; 1; 1; 1536; 256; 16; 256; 2; 1],0.02031297037319746,0.0425614056213721,tvm
197,1,1,1536,384,192,16,8,12,[197; 1; 1; 1536; 384; 192; 16; 8; 12],0.04133172574802302,0.020917311236875333,tvm
197,197,1,64,64,16,128,32,1,[197; 197; 1; 64; 64; 16; 128; 32; 1],0.006494309625850292,0.1331240149048756,tvm
197,1,1,1536,384,192,24,1,12,[197; 1; 1; 1536; 384; 192; 24; 1; 12],0.09180304349865764,0.009417428208044245,tvm
197,197,1,192,48,16,384,12,1,[197; 197; 1; 192; 48; 16; 384; 12; 1],0.013501796871423721,0.06403211214489317,tvm
1,1,1,384,384,16,32,16,1,[1; 1; 1; 384; 384; 16; 32; 16; 1],0.014850626874249429,0.05821630149011921,tvm
197,197,1,64,32,32,48,24,2,[197; 197; 1; 64; 32; 32; 48; 24; 2],0.013108657745760866,0.0659524863793284,tvm
