kc,ku,mc,mr,nc,nr,X,time,peak,backend
256,64,1,1,256,16,[256; 64; 1; 1; 256; 16],0.009412225750565995,0.09185378616493368,tvm
192,32,1,1,192,96,[192; 32; 1; 1; 192; 96],0.002815652062963636,0.3070509253613474,tvm
128,4,197,1,1536,64,[128; 4; 197; 1; 1536; 64],0.012357088686258066,0.06996377491326164,tvm
24,2,197,1,32,16,[24; 2; 197; 1; 32; 16],0.007413871251628734,0.11661229903859484,tvm
24,2,1,1,3072,16,[24; 2; 1; 1; 3072; 16],0.037380384252173826,0.02312840246895788,tvm
192,32,197,1,128,64,[192; 32; 197; 1; 128; 64],0.003153234718411113,0.27417831168122164,tvm
32,32,197,1,384,96,[32; 32; 197; 1; 384; 96],0.002821541671437444,0.30640999570568955,tvm
384,1,1,1,768,128,[384; 1; 1; 1; 768; 128],0.03074309424846433,0.028121716195556895,tvm
96,3,1,1,3072,64,[96; 3; 1; 1; 3072; 64],0.05007142701651901,0.017266305814358937,tvm
48,24,1,1,1536,128,[48; 24; 1; 1; 1536; 128],0.011152406375913415,0.07752125794983528,tvm
12,2,1,1,128,16,[12; 2; 1; 1; 128; 16],0.0017915545313371695,0.4825689401613106,tvm
12,12,197,1,1536,64,[12; 12; 197; 1; 1536; 64],0.008823563937767176,0.09798178803103312,tvm
768,6,1,1,96,16,[768; 6; 1; 1; 96; 16],0.04260630000499077,0.020291566536575597,tvm
24,6,197,1,64,16,[24; 6; 197; 1; 64; 16],0.0075532312475843355,0.11446075766647157,tvm
128,2,1,1,1024,64,[128; 2; 1; 1; 1024; 64],0.01271383675339166,0.06800060345260736,tvm
192,6,197,1,1024,16,[192; 6; 197; 1; 1024; 16],0.03767881100066006,0.022945219036063162,tvm
16,8,1,1,3072,128,[16; 8; 1; 1; 3072; 128],0.02614871801051777,0.03306275172193241,tvm
4,4,1,1,32,16,[4; 4; 1; 1; 32; 16],0.0014895858439558651,0.580395265527367,tvm
192,2,1,1,192,64,[192; 2; 1; 1; 192; 64],0.003057584609450714,0.28275540397355836,tvm
2,1,197,1,3072,16,[2; 1; 197; 1; 3072; 16],0.11071461898973212,0.007808802300161926,tvm
384,16,1,1,192,96,[384; 16; 1; 1; 192; 96],0.010613951624691254,0.08145397699169558,tvm
96,24,1,1,128,64,[96; 24; 1; 1; 128; 64],0.0032812531553645385,0.26348121601502045,tvm
48,2,1,1,512,16,[48; 2; 1; 1; 512; 16],0.018133206496713683,0.04767764441359311,tvm
192,32,197,1,256,64,[192; 32; 197; 1; 256; 64],0.008246325378422625,0.10484046308562518,tvm
24,1,197,1,512,64,[24; 1; 197; 1; 512; 64],0.00417167062551016,0.20724276891415522,tvm
48,12,197,1,1536,16,[48; 12; 197; 1; 1536; 16],0.01840518612152664,0.046973095828539244,tvm
3,1,197,1,3072,96,[3; 1; 197; 1; 3072; 96],0.031107600254472345,0.027792197545173068,tvm
384,1,1,1,768,96,[384; 1; 1; 1; 768; 96],0.019993887370219454,0.04324064427392451,tvm
3,1,1,1,256,128,[3; 1; 1; 1; 256; 128],0.004668271374612232,0.18519672530828069,tvm
256,2,1,1,3072,96,[256; 2; 1; 1; 3072; 96],0.08661992699489929,0.009980943201204514,tvm
48,2,1,1,768,64,[48; 2; 1; 1; 768; 64],0.006089207094191806,0.14198048416734282,tvm
12,4,197,1,256,128,[12; 4; 197; 1; 256; 128],0.001744439749927551,0.4956024256294763,tvm
192,8,1,1,3072,64,[192; 8; 1; 1; 3072; 64],0.08672384449164383,0.009968983461196464,tvm
128,1,1,1,64,64,[128; 1; 1; 1; 64; 64],0.003062189718548325,0.2823301790192226,tvm
24,2,197,1,64,64,[24; 2; 197; 1; 64; 64],0.006396577562554739,0.13515799081208638,tvm
16,16,1,1,1536,96,[16; 16; 1; 1; 1536; 96],0.012935564744111616,0.06683500786636483,tvm
128,1,197,1,3072,64,[128; 1; 197; 1; 3072; 64],0.024519525875803083,0.035259595793479225,tvm
768,6,197,1,1536,96,[768; 6; 197; 1; 1536; 96],0.042919200262986124,0.020143631897404327,tvm
24,24,197,1,1536,64,[24; 24; 197; 1; 1536; 64],0.008701903563633095,0.09935166082989977,tvm
768,4,197,1,1024,128,[768; 4; 197; 1; 1024; 128],0.028776855251635425,0.030043191442172542,tvm
2,1,197,1,192,64,[2; 1; 197; 1; 192; 64],0.0032823761266627116,0.26339107343788276,tvm
128,16,197,1,1536,128,[128; 16; 197; 1; 1536; 128],0.010719997000705916,0.08064821019741335,tvm
6,3,197,1,256,128,[6; 3; 197; 1; 256; 128],0.0017789823286875617,0.48597929135495643,tvm
96,16,1,1,1536,96,[96; 16; 1; 1; 1536; 96],0.012105356061510975,0.07141868170052484,tvm
64,2,197,1,1536,128,[64; 2; 197; 1; 1536; 128],0.011246894500800408,0.07686998143061127,tvm
384,16,1,1,3072,64,[384; 16; 1; 1; 3072; 64],0.08654352801386267,0.00998975418809003,tvm
48,12,197,1,768,16,[48; 12; 197; 1; 768; 16],0.008351174685230944,0.1035241871969851,tvm
768,64,197,1,192,16,[768; 64; 197; 1; 192; 16],0.014727341127581894,0.058703642696875794,tvm
12,3,197,1,1024,128,[12; 3; 197; 1; 1024; 128],0.004547332124275272,0.19012215246238656,tvm
4,4,1,1,3072,128,[4; 4; 1; 1; 3072; 128],0.036881172985886224,0.023441460816862277,tvm
256,64,1,1,384,128,[256; 64; 1; 1; 384; 128],0.004032359063785407,0.21440267539492627,tvm
768,64,1,1,256,16,[768; 64; 1; 1; 256; 16],0.038123132748296484,0.022677794533220864,tvm
64,4,197,1,1024,64,[64; 4; 197; 1; 1024; 64],0.00842954443578492,0.10256171943983218,tvm
192,12,197,1,192,96,[192; 12; 197; 1; 192; 96],0.005340548843378201,0.1618838431747579,tvm
128,1,197,1,512,16,[128; 1; 197; 1; 512; 16],0.019508313504047692,0.044316930381972285,tvm
16,16,197,1,256,128,[16; 16; 197; 1; 256; 128],0.003333100125018973,0.25938271849053746,tvm
96,8,1,1,3072,96,[96; 8; 1; 1; 3072; 96],0.04985619350918569,0.017340845952655486,tvm
6,3,1,1,1536,16,[6; 3; 1; 1; 1536; 16],0.013747010001679882,0.06288993543489993,tvm
48,1,1,1,3072,64,[48; 1; 1; 1; 3072; 64],0.02506055450066924,0.03449838156635695,tvm
384,1,197,1,32,16,[384; 1; 197; 1; 32; 16],0.013836444006301463,0.06248343657046813,tvm
