i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
1,1,1,384,64,32,1024,64,2,[1; 1; 1; 384; 64; 32; 1024; 64; 2],0.009615764938644134,0.0899094951826554,tvm
197,197,1,768,768,16,192,32,1,[197; 197; 1; 768; 768; 16; 192; 32; 1],0.04952925750694703,0.01745531055674131,tvm
197,1,1,768,16,16,128,4,1,[197; 1; 1; 768; 16; 16; 128; 4; 1],0.11394237697822973,0.007587594662815884,tvm
197,1,1,768,128,128,256,2,8,[197; 1; 1; 768; 128; 128; 256; 2; 8],0.0943041009886656,0.009167666754306702,tvm
1,1,1,384,192,32,24,2,2,[1; 1; 1; 384; 192; 32; 24; 2; 2],0.010274329000822036,0.0841464752938513,tvm
197,197,1,192,96,48,512,32,3,[197; 197; 1; 192; 96; 48; 512; 32; 3],0.005191541529711685,0.16653022353393068,tvm
197,1,1,128,32,16,32,32,1,[197; 1; 1; 128; 32; 16; 32; 32; 1],0.03274620574666187,0.026401488408063976,tvm
1,1,1,768,96,32,384,1,2,[1; 1; 1; 768; 96; 32; 384; 1; 2],0.01843897825165186,0.04688701074589752,tvm
1,1,1,768,384,48,3072,64,3,[1; 1; 1; 768; 384; 48; 3072; 64; 3],0.009682492436695611,0.08928987831191323,tvm
197,197,1,192,16,16,3072,32,1,[197; 197; 1; 192; 16; 16; 3072; 32; 1],0.05792848451528698,0.014924412034297603,tvm
197,197,1,768,384,96,768,8,6,[197; 197; 1; 768; 384; 96; 768; 8; 6],0.06311645699315704,0.01369767272460024,tvm
197,197,1,128,128,128,128,4,8,[197; 197; 1; 128; 128; 128; 128; 4; 8],0.0033330136247968767,0.2593894501350139,tvm
1,1,1,768,384,48,48,6,3,[1; 1; 1; 768; 384; 48; 48; 6; 3],0.009649166626331862,0.08959826323957162,tvm
197,1,1,256,128,32,24,6,2,[197; 1; 1; 256; 128; 32; 24; 6; 2],0.05624089000048116,0.015372242000814263,tvm
1,1,1,256,64,32,3072,6,2,[1; 1; 1; 256; 64; 32; 3072; 6; 2],0.018874881374358665,0.04580418569427683,tvm
197,197,1,768,192,96,384,24,6,[197; 197; 1; 768; 192; 96; 384; 24; 6],0.020021279371576384,0.04318148482838441,tvm
197,1,1,16,16,16,192,6,1,[197; 1; 1; 16; 16; 16; 192; 6; 1],0.014917041873559356,0.057957105621657776,tvm
197,1,1,768,96,32,256,32,2,[197; 1; 1; 768; 96; 32; 256; 32; 2],0.0852094434958417,0.010146159110530538,tvm
