kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
12,4,1,1,768,64,4,[12; 4; 1; 1; 768; 64; 4],0.004906272781227017,0.04405322583859449,tvm
24,6,1,1,256,16,1,[24; 6; 1; 1; 256; 16; 1],0.0017782704999262933,0.12154345633361258,tvm
12,2,1,1,32,16,1,[12; 2; 1; 1; 32; 16; 1],0.00047874378515189164,0.4514672556815933,tvm
12,6,197,1,128,32,2,[12; 6; 197; 1; 128; 32; 2],0.0011741602188521938,0.18407806650818812,tvm
12,6,1,1,128,32,2,[12; 6; 1; 1; 128; 32; 2],0.0012654284764721524,0.1708015481520573,tvm
24,3,1,1,384,96,6,[24; 3; 1; 1; 384; 96; 6],0.0025558173592798994,0.08456674029244382,tvm
4,2,1,1,96,96,6,[4; 2; 1; 1; 96; 96; 6],0.0017114356560341548,0.12628996135209036,tvm
6,1,197,1,384,48,3,[6; 1; 197; 1; 384; 48; 3],0.0016974907348412671,0.12732743597410792,tvm
12,3,197,1,192,192,12,[12; 3; 197; 1; 192; 192; 12],0.0019711451714101713,0.10965054527288662,tvm
3,3,197,1,192,64,4,[3; 3; 197; 1; 192; 64; 4],0.003337545564136235,0.06475930851091756,tvm
24,1,1,1,768,48,3,[24; 1; 1; 1; 768; 48; 3],0.005916331374464789,0.03653229158021855,tvm
24,12,1,1,768,16,1,[24; 12; 1; 1; 768; 16; 1],0.007334235811867984,0.02946962006694656,tvm
8,2,1,1,128,16,1,[8; 2; 1; 1; 128; 16; 1],0.0005364519256545464,0.40290123405452466,tvm
2,2,1,1,256,16,1,[2; 2; 1; 1; 256; 16; 1],0.002071804186925874,0.10432315187944732,tvm
12,12,197,1,768,96,6,[12; 12; 197; 1; 768; 96; 6],0.003952657032641582,0.054681481614077,tvm
6,3,1,1,256,32,2,[6; 3; 1; 1; 256; 32; 2],0.001075592195320496,0.20094710969220084,tvm
8,1,1,1,256,32,2,[8; 1; 1; 1; 256; 32; 2],0.0013341472190404602,0.16200396760755692,tvm
6,2,197,1,48,48,3,[6; 2; 197; 1; 48; 48; 3],0.0004208671718970436,0.5135519168266617,tvm
8,2,197,1,48,48,3,[8; 2; 197; 1; 48; 48; 3],0.0007862458051022259,0.2748976737994058,tvm
8,1,197,1,256,128,8,[8; 1; 197; 1; 256; 128; 8],0.0009423933279322227,0.22934918621653008,tvm
16,8,197,1,384,48,3,[16; 8; 197; 1; 384; 48; 3],0.0032870504383026855,0.06575413031043974,tvm
24,1,197,1,64,64,4,[24; 1; 197; 1; 64; 64; 4],0.0017849163441496785,0.12109090914292067,tvm
4,2,1,1,128,128,8,[4; 2; 1; 1; 128; 128; 8],0.001698088031844236,0.12728264895807764,tvm
1,1,197,1,64,16,1,[1; 1; 197; 1; 64; 16; 1],0.006274797498917906,0.03444527777899062,tvm
4,2,1,1,768,128,8,[4; 2; 1; 1; 768; 128; 8],0.003472361093372456,0.062245007660543826,tvm
8,4,197,1,96,48,3,[8; 4; 197; 1; 96; 48; 3],0.0016308249214489479,0.13253240124949175,tvm
4,1,1,1,48,16,1,[4; 1; 1; 1; 48; 16; 1],0.0014480468043984729,0.14926115799615156,tvm
6,1,1,1,192,192,12,[6; 1; 1; 1; 192; 192; 12],0.002664768015165464,0.08110917784478218,tvm
32,2,1,1,192,192,12,[32; 2; 1; 1; 192; 192; 12],0.0025991067032009596,0.08315824148002722,tvm
6,3,1,1,32,32,2,[6; 3; 1; 1; 32; 32; 2],0.0021460777970787603,0.10071263173746477,tvm
12,3,197,1,96,32,2,[12; 3; 197; 1; 96; 32; 2],0.0017378605307385442,0.12436967123322051,tvm
12,1,197,1,64,64,4,[12; 1; 197; 1; 64; 64; 4],0.001498084789091081,0.14427564075881028,tvm
24,3,1,1,96,48,3,[24; 3; 1; 1; 96; 48; 3],0.002361492405725585,0.0915256565437623,tvm
48,6,197,1,256,128,8,[48; 6; 197; 1; 256; 128; 8],0.0035910050937673077,0.06018848127848082,tvm
12,1,1,1,192,16,1,[12; 1; 1; 1; 192; 16; 1],0.0019204146719857818,0.11254712120775917,tvm
24,6,197,1,64,16,1,[24; 6; 197; 1; 64; 16; 1],0.0016600939688942162,0.13019572801719842,tvm
4,2,1,1,64,32,2,[4; 2; 1; 1; 64; 32; 2],0.0011631438592303311,0.1858215053468656,tvm
12,3,1,1,384,16,1,[12; 3; 1; 1; 384; 16; 1],0.004172745717369253,0.05179734340328041,tvm
24,12,1,1,48,16,1,[24; 12; 1; 1; 48; 16; 1],0.005276386125842691,0.0409631019607428,tvm
12,12,197,1,768,32,2,[12; 12; 197; 1; 768; 32; 2],0.003469874374786741,0.06228961613932397,tvm
4,1,197,1,192,48,3,[4; 1; 197; 1; 192; 48; 3],0.0009068531012417225,0.23833754613750976,tvm
24,8,197,1,768,192,12,[24; 8; 197; 1; 768; 192; 12],0.0025898309531839914,0.08345608140617032,tvm
24,12,1,1,192,48,3,[24; 12; 1; 1; 192; 48; 3],0.0009743841796989727,0.22181922424470857,tvm
24,12,197,1,64,16,1,[24; 12; 197; 1; 64; 16; 1],0.0008899746171664447,0.24285764862069148,tvm
6,2,197,1,768,96,6,[6; 2; 197; 1; 768; 96; 6],0.0030731432661923463,0.07033096869738156,tvm
8,8,1,1,128,32,2,[8; 8; 1; 1; 128; 32; 2],0.0005176479962756275,0.41753690618375,tvm
2,2,1,1,96,96,6,[2; 2; 1; 1; 96; 96; 6],0.0015931273437672644,0.13566846599095078,tvm
6,3,197,1,128,128,8,[6; 3; 197; 1; 128; 128; 8],0.0009815734215408156,0.22019457547848392,tvm
64,4,1,1,768,128,8,[64; 4; 1; 1; 768; 128; 8],0.005270312813081546,0.041010306318187535,tvm
64,32,197,1,384,128,8,[64; 32; 197; 1; 384; 128; 8],0.0026590693751131766,0.08128300257226027,tvm
2,2,1,1,32,16,1,[2; 2; 1; 1; 32; 16; 1],0.0006233465819605044,0.34673670974077375,tvm
8,2,1,1,384,16,1,[8; 2; 1; 1; 384; 16; 1],0.004200248249617289,0.051458182948314175,tvm
24,1,1,1,16,16,1,[24; 1; 1; 1; 16; 16; 1],0.0018653742808965035,0.11586797623974252,tvm
