kc,ku,mc,mr,nc,nr,X,time,peak,backend
256,64,1,1,64,16,[256; 64; 1; 1; 64; 16],0.0021510148126253625,0.10048147580785022,tvm
192,32,1,1,192,96,[192; 32; 1; 1; 192; 96],0.0014366848358804418,0.15044158430522292,tvm
128,4,197,1,384,96,[128; 4; 197; 1; 384; 96],0.002854193874554767,0.07572616029486036,tvm
24,2,197,1,128,128,[24; 2; 197; 1; 128; 128],0.0009442233204026707,0.2289046861975085,tvm
24,2,1,1,768,64,[24; 2; 1; 1; 768; 64],0.005675800313838408,0.03808046987315071,tvm
192,32,197,1,256,128,[192; 32; 197; 1; 256; 128],0.0016589378128628596,0.13028646473742797,tvm
32,32,197,1,192,64,[32; 32; 197; 1; 192; 64],0.0008153602034326468,0.26508179078057853,tvm
384,1,1,1,16,16,[384; 1; 1; 1; 16; 16],0.00339497065579053,0.06366392077306912,tvm
96,3,1,1,48,16,[96; 3; 1; 1; 48; 16],0.0013665550936821091,0.15816204107422624,tvm
48,24,1,1,16,16,[48; 24; 1; 1; 16; 16],0.0010561837580098654,0.20463971465003725,tvm
12,2,1,1,768,96,[12; 2; 1; 1; 768; 96],0.005221178718784358,0.041396235313597124,tvm
12,12,197,1,192,16,[12; 12; 197; 1; 192; 16],0.0013258408675937972,0.16301891738289787,tvm
768,6,1,1,768,128,[768; 6; 1; 1; 768; 128],0.021753208871814422,0.00993587401889894,tvm
24,6,197,1,32,16,[24; 6; 197; 1; 32; 16],0.0006238351288629929,0.3464651682105113,tvm
128,2,1,1,384,96,[128; 2; 1; 1; 384; 96],0.0029661383905477123,0.07286819237629437,tvm
192,6,197,1,64,16,[192; 6; 197; 1; 64; 16],0.004163825000432553,0.05190831575166818,tvm
16,8,1,1,384,64,[16; 8; 1; 1; 384; 64],0.0016742212346798624,0.12909712192156714,tvm
4,4,1,1,64,16,[4; 4; 1; 1; 64; 16],0.0011522473437253211,0.187578772938067,tvm
192,2,1,1,256,128,[192; 2; 1; 1; 256; 128],0.0018671793905014056,0.11575596000933909,tvm
2,1,197,1,32,16,[2; 1; 197; 1; 32; 16],0.004489614062549663,0.04814158630249791,tvm
384,16,1,1,96,96,[384; 16; 1; 1; 96; 96],0.0018784389530992485,0.11506210649035828,tvm
96,24,1,1,256,16,[96; 24; 1; 1; 256; 16],0.007318660373130115,0.029532336771723053,tvm
48,2,1,1,768,128,[48; 2; 1; 1; 768; 128],0.005408681125118164,0.03996115464329964,tvm
192,32,197,1,48,16,[192; 32; 197; 1; 48; 16],0.0031423680320585845,0.06878161330948561,tvm
24,1,197,1,384,64,[24; 1; 197; 1; 384; 64],0.0018066964530589757,0.11963113255200901,tvm
48,12,197,1,128,128,[48; 12; 197; 1; 128; 128],0.0017729383589539793,0.12190900025687423,tvm
3,1,197,1,96,96,[3; 1; 197; 1; 96; 96],0.0017865191721284646,0.1209822688886324,tvm
384,1,1,1,96,16,[384; 1; 1; 1; 96; 16],0.006758022314897971,0.03198230677348776,tvm
3,1,1,1,64,64,[3; 1; 1; 1; 64; 64],0.0014776976954635757,0.14626614328537435,tvm
256,2,1,1,192,64,[256; 2; 1; 1; 192; 64],0.0029917105312051717,0.072245339448023,tvm
48,2,1,1,192,16,[48; 2; 1; 1; 192; 16],0.007596433752041776,0.028452448861157952,tvm
12,4,197,1,384,16,[12; 4; 197; 1; 384; 16],0.005293022093610489,0.040834354936484095,tvm
192,8,1,1,384,96,[192; 8; 1; 1; 384; 96],0.0028955435154784936,0.07464475726292989,tvm
128,1,1,1,384,96,[128; 1; 1; 1; 384; 96],0.0032308123754773987,0.06689869845048042,tvm
24,2,197,1,256,16,[24; 2; 197; 1; 256; 16],0.003562291249181726,0.06067363046376135,tvm
16,16,1,1,192,96,[16; 16; 1; 1; 192; 96],0.0014452479686042352,0.1495502139095755,tvm
128,1,197,1,256,64,[128; 1; 197; 1; 256; 64],0.003998916092314175,0.0540489317274132,tvm
768,6,197,1,192,96,[768; 6; 197; 1; 192; 96],0.002971397702822287,0.07273921718787488,tvm
24,24,197,1,192,16,[24; 24; 197; 1; 192; 16],0.005530400905627175,0.03908164101398573,tvm
768,4,197,1,384,16,[768; 4; 197; 1; 384; 16],0.013877723373298068,0.015574394808373922,tvm
2,1,197,1,256,64,[2; 1; 197; 1; 256; 64],0.0021794200629301486,0.09917186068598201,tvm
128,16,197,1,384,128,[128; 16; 197; 1; 384; 128],0.002765417984846863,0.07815713358395317,tvm
6,3,197,1,64,64,[6; 3; 197; 1; 64; 64],0.0009477448675170308,0.22805414227501358,tvm
96,16,1,1,192,96,[96; 16; 1; 1; 192; 96],0.001370741890696081,0.15767895059177445,tvm
64,2,197,1,16,16,[64; 2; 197; 1; 16; 16],0.0026407240775370155,0.08184768135970208,tvm
384,16,1,1,256,64,[384; 16; 1; 1; 256; 64],0.0019823352349703782,0.10903158004976517,tvm
48,12,197,1,768,64,[48; 12; 197; 1; 768; 64],0.00545720690752205,0.03960581786980184,tvm
768,64,197,1,128,64,[768; 64; 197; 1; 128; 64],0.004894188437901903,0.04416199858250636,tvm
12,3,197,1,384,16,[12; 3; 197; 1; 384; 16],0.002648183874953247,0.08161712066197015,tvm
4,4,1,1,384,64,[4; 4; 1; 1; 384; 64],0.0016955899372987915,0.12747017312538805,tvm
256,64,1,1,16,16,[256; 64; 1; 1; 16; 16],0.004931845593091566,0.04382479921105064,tvm
768,64,1,1,64,16,[768; 64; 1; 1; 64; 16],0.004574917064019246,0.047243947777111786,tvm
64,4,197,1,384,96,[64; 4; 197; 1; 384; 96],0.0027480643902890733,0.07865068359421049,tvm
192,12,197,1,96,16,[192; 12; 197; 1; 96; 16],0.007939659812109312,0.027222468968695294,tvm
128,1,197,1,768,16,[128; 1; 197; 1; 768; 16],0.012183380935312016,0.017740325448636036,tvm
16,16,197,1,16,16,[16; 16; 197; 1; 16; 16],0.001852677311944717,0.11666205521255515,tvm
96,8,1,1,96,16,[96; 8; 1; 1; 96; 16],0.0013294948043949262,0.16257088191894833,tvm
6,3,1,1,32,16,[6; 3; 1; 1; 32; 16],0.0004041543045332219,0.5347886696561861,tvm
48,1,1,1,48,16,[48; 1; 1; 1; 48; 16],0.0038746861882827943,0.05578184460737754,tvm
384,1,197,1,128,16,[384; 1; 197; 1; 128; 16],0.0045659012812393485,0.04733723520156255,tvm
