i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
50,10,2,1280,160,32,80,10,2,[50; 10; 2; 1280; 160; 32; 80; 10; 2],0.059946864523226395,0.3050320384751648,tvm
300,50,25,5120,16,16,320,64,1,[300; 50; 25; 5120; 16; 16; 320; 64; 1],0.19397367700003088,0.09426905015421952,tvm
750,5,5,2560,256,32,160,32,2,[750; 5; 5; 2560; 256; 32; 160; 32; 2],0.1339338170364499,0.13652798591365356,tvm
1500,150,25,64,32,16,320,32,1,[1500; 150; 25; 64; 32; 16; 320; 32; 1],0.08637809951324016,0.21169387134885304,tvm
1500,1500,5,512,256,64,64,4,4,[1500; 1500; 5; 512; 256; 64; 64; 4; 4],0.07377930000075139,0.2478434233657416,tvm
60,60,4,5120,128,16,256,4,1,[60; 60; 4; 5120; 128; 16; 256; 4; 1],0.10282392497174442,0.17783520995467858,tvm
300,25,5,1280,64,32,10,2,2,[300; 25; 5; 1280; 64; 32; 10; 2; 2],0.07655890952446498,0.23884502011971512,tvm
50,10,5,640,640,64,40,1,4,[50; 10; 5; 640; 640; 64; 40; 1; 4],0.06672840900137089,0.27403192372440077,tvm
60,60,15,640,160,16,320,32,1,[60; 60; 15; 640; 160; 16; 320; 32; 1],0.07890015697921626,0.23175764137618987,tvm
500,20,5,2560,1280,80,5,1,5,[500; 20; 5; 2560; 1280; 80; 5; 1; 5],0.08309636701596901,0.22005431696189845,tvm
750,750,2,128,128,64,320,8,4,[750; 750; 2; 128; 128; 64; 320; 8; 4],0.07697811000980437,0.237544339337317,tvm
500,4,4,320,80,16,64,2,1,[500; 4; 4; 320; 80; 16; 64; 2; 1],0.11087156500434503,0.16492699715204412,tvm
750,5,5,5120,512,32,80,16,2,[750; 5; 5; 5120; 512; 32; 80; 16; 2],0.2713285540230572,0.0673932544680144,tvm
500,4,1,1024,1024,32,640,16,2,[500; 4; 1; 1024; 1024; 32; 640; 16; 2],0.23688505799509585,0.07719234991213693,tvm
500,20,4,1280,32,32,256,8,2,[500; 20; 4; 1280; 32; 32; 256; 8; 2],0.08128832999500446,0.22494882459558496,tvm
1500,6,6,64,32,32,128,2,2,[1500; 6; 6; 64; 32; 32; 128; 2; 2],0.08734777450445108,0.20934379140687187,tvm
75,75,25,64,32,16,20,10,1,[75; 75; 25; 64; 32; 16; 20; 10; 1],0.048604751500533894,0.37621248378388333,tvm
1500,100,5,256,128,16,1280,5,1,[1500; 100; 5; 256; 128; 16; 1280; 5; 1],0.08126647851895541,0.22500931034496768,tvm
60,5,5,1280,640,32,40,4,2,[60; 5; 5; 1280; 640; 32; 40; 4; 2],0.08674352400703356,0.21080206845448887,tvm
