kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
40,2,300,4,640,80,5,[40; 2; 300; 4; 640; 80; 5],0.06629284197697416,0.06895810218871579,tvm
20,2,250,1,16,16,1,[20; 2; 250; 1; 16; 16; 1],0.01673121625208296,0.27322751093241354,tvm
16,8,6,6,32,16,1,[16; 8; 6; 6; 32; 16; 1],0.011742838938516797,0.3892950073967356,tvm
2,1,5,1,80,16,1,[2; 1; 5; 1; 80; 16; 1],0.03753763475106098,0.12178254175429536,tvm
40,1,3,3,128,64,4,[40; 1; 3; 3; 128; 64; 4],0.040774849243462086,0.11211392945031091,tvm
80,20,750,5,160,32,2,[80; 20; 750; 5; 160; 32; 2],0.023311438628297765,0.19610237893594917,tvm
5,1,15,5,128,32,2,[5; 1; 15; 5; 128; 32; 2],0.03254636601195671,0.14045895537920103,tvm
20,4,6,3,640,32,2,[20; 4; 6; 3; 640; 32; 2],0.05045114998938516,0.09061098849858513,tvm
2,1,750,2,640,64,4,[2; 1; 750; 2; 640; 64; 4],0.12388764799106866,0.036899793042790965,tvm
10,5,10,5,640,16,1,[10; 5; 10; 5; 640; 16; 1],0.05829913349589333,0.0784133193291902,tvm
20,5,150,25,64,16,1,[20; 5; 150; 25; 64; 16; 1],0.015982437747879885,0.28602824197047066,tvm
4,4,2,1,640,64,4,[4; 4; 2; 1; 640; 64; 4],0.12027608696371317,0.03800779262803714,tvm
10,5,20,1,16,16,1,[10; 5; 20; 1; 16; 16; 1],0.01761132287356304,0.2595732645553219,tvm
8,1,60,2,1280,32,2,[8; 1; 60; 2; 1280; 32; 2],0.10331236600177363,0.04424860980678819,tvm
40,20,30,10,640,32,2,[40; 20; 30; 10; 640; 32; 2],0.028268983252928592,0.16171181434178336,tvm
2,1,30,3,320,32,2,[2; 1; 30; 3; 320; 32; 2],0.06318329850910231,0.07235185055699493,tvm
256,32,375,5,64,32,2,[256; 32; 375; 5; 64; 32; 2],0.009819756811339175,0.465533786554653,tvm
16,1,100,4,640,32,2,[16; 1; 100; 4; 640; 32; 2],0.10270056599983945,0.04451220426025421,tvm
64,32,100,5,256,64,4,[64; 32; 100; 5; 256; 64; 4],0.010578568562777946,0.4321405627141021,tvm
4,1,750,5,1280,16,1,[4; 1; 750; 5; 1280; 16; 1],0.21275252004852518,0.021487071318289943,tvm
32,2,10,5,1280,32,2,[32; 2; 10; 5; 1280; 32; 2],0.13905583799351007,0.032874769138724884,tvm
8,4,10,10,128,16,1,[8; 4; 10; 10; 128; 16; 1],0.022011510249285493,0.207683549182045,tvm
80,2,1500,5,640,32,2,[80; 2; 1500; 5; 640; 32; 2],0.1263166239950806,0.036190237095052556,tvm
320,2,300,30,1280,16,1,[320; 2; 300; 30; 1280; 16; 1],0.23857031698571518,0.01916176592791422,tvm
20,2,10,10,16,16,1,[20; 2; 10; 10; 16; 16; 1],0.018962830748932902,0.24107310938720583,tvm
128,32,150,5,128,32,2,[128; 32; 150; 5; 128; 32; 2],0.022793732750869822,0.20055638194029995,tvm
16,4,1500,6,256,16,1,[16; 4; 1500; 6; 256; 16; 1],0.028679924755124375,0.1593947198418564,tvm
32,8,4,4,256,64,4,[32; 8; 4; 4; 256; 64; 4],0.027672556505422108,0.16519718987773518,tvm
8,2,300,10,640,16,1,[8; 2; 300; 10; 640; 16; 1],0.11332299700006843,0.040339813563400655,tvm
64,8,125,5,256,32,2,[64; 8; 125; 5; 256; 32; 2],0.01513480837456882,0.30204733738882295,tvm
20,10,150,15,128,16,1,[20; 10; 150; 15; 128; 16; 1],0.0174112731256173,0.26255567519083967,tvm
32,2,12,4,128,32,2,[32; 2; 12; 4; 128; 32; 2],0.028844363492680714,0.15848602700449868,tvm
10,5,30,1,320,32,2,[10; 5; 30; 1; 320; 32; 2],0.023426052255672403,0.19514293409473815,tvm
160,5,1500,30,80,16,1,[160; 5; 1500; 30; 80; 16; 1],0.012304749252507463,0.3715174098730216,tvm
8,2,30,3,128,16,1,[8; 2; 30; 3; 128; 16; 1],0.05288194149034098,0.08644592922639867,tvm
20,20,300,20,64,16,1,[20; 20; 300; 20; 64; 16; 1],0.031069448246853426,0.14713581442153695,tvm
20,10,750,6,80,16,1,[20; 10; 750; 6; 80; 16; 1],0.02744301276106853,0.1665789616916163,tvm
160,5,300,20,640,16,1,[160; 5; 300; 20; 640; 16; 1],0.048261682997690514,0.09472169819787118,tvm
40,2,750,2,256,128,8,[40; 2; 750; 2; 256; 128; 8],0.0297914519906044,0.1534476591765418,tvm
40,10,50,1,640,160,10,[40; 10; 50; 1; 640; 160; 10],0.059757757000625134,0.07649933332304874,tvm
64,2,20,2,128,128,8,[64; 2; 20; 2; 128; 128; 8],0.014110943498963024,0.3239633531070771,tvm
8,1,500,1,640,80,5,[8; 1; 500; 1; 640; 80; 5],0.12745079601882026,0.03586818375581996,tvm
16,16,250,5,320,64,4,[16; 16; 250; 5; 320; 64; 4],0.016929229626839515,0.2700316950147012,tvm
320,40,750,25,32,16,1,[320; 40; 750; 25; 32; 16; 1],0.029877883003791794,0.15300376438479302,tvm
32,32,300,10,320,16,1,[32; 32; 300; 10; 320; 16; 1],0.020121611370996106,0.22718998429807494,tvm
20,20,250,2,320,160,10,[20; 20; 250; 2; 320; 160; 10],0.015899497251666617,0.28752032212524115,tvm
4,2,150,30,1280,16,1,[4; 2; 150; 30; 1280; 16; 1],0.37849853798979893,0.012077797171178977,tvm
2,1,150,1,320,80,5,[2; 1; 150; 1; 320; 80; 5],0.0636415974877309,0.07183082687875443,tvm
16,1,25,1,64,64,4,[16; 1; 25; 1; 64; 64; 4],0.016141601001436356,0.2832078782657175,tvm
4,2,6,2,320,160,10,[4; 2; 6; 2; 320; 160; 10],0.04350852749485057,0.10506971471212445,tvm
16,2,4,4,128,64,4,[16; 2; 4; 4; 128; 64; 4],0.05124424651148729,0.0892086211162029,tvm
40,4,30,3,640,64,4,[40; 4; 30; 3; 640; 64; 4],0.044659882987616584,0.10236096168671445,tvm
4,4,1,1,160,160,10,[4; 4; 1; 1; 160; 160; 10],0.016669958997226786,0.27423154263241284,tvm
80,20,300,5,160,32,2,[80; 20; 300; 5; 160; 32; 2],0.01528875449730549,0.29900595056544643,tvm
16,4,5,1,320,160,10,[16; 4; 5; 1; 320; 160; 10],0.05519159248797223,0.0828283505757659,tvm
20,5,5,1,320,16,1,[20; 5; 5; 1; 320; 16; 1],0.02901123950141482,0.15757439702656043,tvm
20,20,60,5,256,64,4,[20; 20; 60; 5; 256; 64; 4],0.012983795000764076,0.3520872419165237,tvm
16,4,250,2,256,16,1,[16; 4; 250; 2; 256; 16; 1],0.03671757825941313,0.12450245326995699,tvm
5,5,4,2,640,128,8,[5; 5; 4; 2; 640; 128; 8],0.0625651239824947,0.07306672280722447,tvm
160,1,300,12,32,16,1,[160; 1; 300; 12; 32; 16; 1],0.018108792130078655,0.2524424897359908,tvm
160,20,150,25,16,16,1,[160; 20; 150; 25; 16; 16; 1],0.013099884745315649,0.3489670833221076,tvm
8,8,60,1,1280,64,4,[8; 8; 60; 1; 1280; 64; 4],0.09919624202302657,0.046084695127537184,tvm
10,1,3,1,320,80,5,[10; 1; 3; 1; 320; 80; 5],0.04384779525571503,0.10425674870922368,tvm
20,1,75,1,32,16,1,[20; 1; 75; 1; 32; 16; 1],0.01664147449628217,0.27470093304832227,tvm
8,4,15,15,256,16,1,[8; 4; 15; 15; 256; 16; 1],0.0270432944962522,0.16904111191268148,tvm
64,1,20,4,32,32,2,[64; 1; 20; 4; 32; 32; 2],0.019210171623853967,0.23796916867479015,tvm
160,40,1500,5,1280,32,2,[160; 40; 1500; 5; 1280; 32; 2],0.06886907701846212,0.066378536918726,tvm
