kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
28,4,8,2,256,16,1,[28; 4; 8; 2; 256; 16; 1],0.19814503903035074,0.2822379687475658,tvm
8,4,64,1,1024,32,2,[8; 4; 64; 1; 1024; 32; 2],0.1613318109884858,0.34663996511713746,tvm
28,1,8,1,2048,16,1,[28; 1; 8; 1; 2048; 16; 1],0.368549655075185,0.1517408917990296,tvm
16,4,16,1,256,32,2,[16; 4; 16; 1; 256; 32; 2],0.13668914802838117,0.4091330887637229,tvm
56,7,64,2,128,128,8,[56; 7; 64; 2; 128; 128; 8],0.1313099090475589,0.4258936262995834,tvm
448,7,8,8,512,16,1,[448; 7; 8; 8; 512; 16; 1],0.29451407701708376,0.1898858414502522,tvm
28,7,64,2,512,16,1,[28; 7; 64; 2; 512; 16; 1],0.1644798459019512,0.3400055066118585,tvm
32,1,64,8,512,32,2,[32; 1; 64; 8; 512; 32; 2],0.3365597469964996,0.1661638203392011,tvm
112,112,32,16,1024,16,1,[112; 112; 32; 16; 1024; 16; 1],1.418332514935173,0.039429437557447114,tvm
14,1,32,2,1024,16,1,[14; 1; 32; 2; 1024; 16; 1],0.17010865197516978,0.32875490272826563,tvm
16,8,64,1,4096,32,2,[16; 8; 64; 1; 4096; 32; 2],0.19549325795378536,0.28606640412404294,tvm
8,4,64,16,32,16,1,[8; 4; 64; 16; 32; 16; 1],0.2950629380065948,0.18953262551762232,tvm
224,16,8,4,4096,32,2,[224; 16; 8; 4; 4096; 32; 2],0.22256376000586897,0.25127205494667515,tvm
112,4,8,8,32,16,1,[112; 4; 8; 8; 32; 16; 1],0.3709359149215743,0.15076473073565055,tvm
112,8,32,4,2048,64,4,[112; 8; 32; 4; 2048; 64; 4],0.24515581293962896,0.22811636674144437,tvm
4,2,32,2,128,32,2,[4; 2; 32; 2; 128; 32; 2],0.1477080259937793,0.3786121502679114,tvm
16,16,8,2,2048,128,8,[16; 16; 8; 2; 2048; 128; 8],0.15906440000981092,0.3515812044045305,tvm
8,1,32,2,32,32,2,[8; 1; 32; 2; 32; 32; 2],0.13607821497134864,0.41096992156391954,tvm
28,7,4,1,256,64,4,[28; 7; 4; 1; 256; 64; 4],0.23078219301532954,0.2423239531726723,tvm
112,112,64,16,1024,16,1,[112; 112; 64; 16; 1024; 16; 1],1.4533336809836328,0.038479844006287185,tvm
56,7,8,4,32,32,2,[56; 7; 8; 4; 32; 32; 2],0.1489772170316428,0.3753866158035094,tvm
56,28,32,2,2048,128,8,[56; 28; 32; 2; 2048; 128; 8],0.12069182400591671,0.4633624008415993,tvm
28,14,16,2,4096,16,1,[28; 14; 16; 2; 4096; 16; 1],0.20571387303061783,0.271853582402825,tvm
56,1,32,8,64,32,2,[56; 1; 32; 8; 64; 32; 2],0.2705028740456328,0.2067410689466433,tvm
32,16,8,8,2048,32,2,[32; 16; 8; 8; 2048; 32; 2],0.13997311901766807,0.3995342371864582,tvm
224,14,32,8,32,16,1,[224; 14; 32; 8; 32; 16; 1],0.2568282060092315,0.21774887658298397,tvm
32,4,8,4,512,64,4,[32; 4; 8; 4; 512; 64; 4],0.1691564100328833,0.33060558167711135,tvm
28,1,16,1,64,16,1,[28; 1; 16; 1; 64; 16; 1],0.4073705010814592,0.13728056691603835,tvm
2,2,8,2,64,64,4,[2; 2; 8; 2; 64; 64; 4],0.19968123803846538,0.280066639623701,tvm
28,1,16,4,1024,32,2,[28; 1; 16; 4; 1024; 32; 2],0.34530987800098956,0.16195323938336068,tvm
32,16,4,4,512,64,4,[32; 16; 4; 4; 512; 64; 4],0.10958788299467415,0.5103123794813262,tvm
56,7,64,16,2048,16,1,[56; 7; 64; 16; 2048; 16; 1],0.4806337070185691,0.116354830126745,tvm
128,16,64,16,1024,16,1,[128; 16; 64; 16; 1024; 16; 1],0.3293227560352534,0.16981533255280654,tvm
14,7,4,4,2048,32,2,[14; 7; 4; 4; 2048; 32; 2],0.15382398397196084,0.3635587370011637,tvm
7,7,64,8,32,32,2,[7; 7; 64; 8; 32; 32; 2],0.16518882906530052,0.33854621798442613,tvm
64,64,8,2,2048,128,8,[64; 64; 8; 2; 2048; 128; 8],0.2154081630287692,0.25961900675910926,tvm
14,14,32,2,32,16,1,[14; 14; 32; 2; 32; 16; 1],0.1847789459861815,0.30265381715899364,tvm
64,16,64,1,2048,128,8,[64; 16; 64; 1; 2048; 128; 8],0.20103732403367758,0.2781774658120946,tvm
256,8,64,8,512,16,1,[256; 8; 64; 8; 512; 16; 1],0.2557659490266815,0.2186532395971887,tvm
14,7,8,8,512,16,1,[14; 7; 8; 8; 512; 16; 1],0.16582858399488032,0.3372401306584147,tvm
112,28,64,8,256,16,1,[112; 28; 64; 8; 256; 16; 1],0.22244719706941396,0.2514037221870789,tvm
224,1,64,8,1024,32,2,[224; 1; 64; 8; 1024; 32; 2],0.4910898560192436,0.11387743535704782,tvm
