i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
16,2,1,512,512,64,4096,64,4,[16; 2; 1; 512; 512; 64; 4096; 64; 4],0.04990610425011255,0.08004181648953754,tvm
8,8,8,64,32,16,2048,64,1,[8; 8; 8; 64; 32; 16; 2048; 64; 1],0.016283078628475778,0.24532063802170323,tvm
32,16,4,256,128,32,8,1,2,[32; 16; 4; 256; 128; 32; 8; 1; 2],0.01673681086685974,0.2386700351621243,tvm
64,2,1,1024,32,16,2048,64,1,[64; 2; 1; 1024; 32; 16; 2048; 64; 1],0.06606742349686101,0.060462101088065406,tvm
64,32,1,256,64,32,4096,16,2,[64; 32; 1; 256; 64; 32; 4096; 16; 2],0.04912662200513296,0.08131182391652876,tvm
64,64,4,256,256,16,64,32,1,[64; 64; 4; 256; 256; 16; 64; 32; 1],0.009650136620621197,0.4139397601438414,tvm
8,8,1,256,128,128,256,8,8,[8; 8; 1; 256; 128; 128; 256; 8; 8],0.01975459286768455,0.202209950103793,tvm
8,8,4,512,128,16,128,4,1,[8; 8; 4; 512; 128; 16; 128; 4; 1],0.0174432938802056,0.22900349357916996,tvm
32,16,1,256,32,16,8,4,1,[32; 16; 1; 256; 32; 16; 8; 4; 1],0.00972732224909123,0.41065517681070235,tvm
32,1,1,64,16,16,2048,2,1,[32; 1; 1; 64; 16; 16; 2048; 2; 1],0.06655224697897211,0.06002164343688301,tvm
64,16,1,1024,256,64,128,16,4,[64; 16; 1; 1024; 256; 64; 128; 16; 4],0.016229202621616423,0.24613502777854773,tvm
32,4,1,256,64,32,256,4,2,[32; 4; 1; 256; 64; 32; 256; 4; 2],0.029950303258374333,0.1333734487973281,tvm
4,2,2,32,16,16,8,2,1,[4; 2; 2; 32; 16; 16; 8; 2; 1],0.034025998262222856,0.11739773826210381,tvm
8,2,1,1024,128,16,1024,2,1,[8; 2; 1; 1024; 128; 16; 1024; 2; 1],0.06630797049729154,0.0602427612870221,tvm
2,1,1,512,128,64,64,32,4,[2; 1; 1; 512; 128; 64; 64; 32; 4],0.049015501484973356,0.08149616176669848,tvm
32,2,2,128,16,16,128,2,1,[32; 2; 2; 128; 16; 16; 128; 2; 1],0.033489733235910535,0.11927760695961338,tvm
64,8,4,256,32,32,32,32,2,[64; 8; 4; 256; 32; 32; 32; 32; 2],0.011744325682229828,0.34012810494001994,tvm
8,1,1,1024,256,128,256,32,8,[8; 1; 1; 1024; 256; 128; 256; 32; 8],0.04945131475687958,0.08077793801305393,tvm
8,8,8,128,64,32,512,8,2,[8; 8; 8; 128; 64; 32; 512; 8; 2],0.012118764003389515,0.3296190302062149,tvm
32,1,1,256,128,16,8,1,1,[32; 1; 1; 256; 128; 16; 8; 1; 1],0.04947388748405501,0.08074108264450926,tvm
64,64,8,64,32,16,1,1,1,[64; 64; 8; 64; 32; 16; 1; 1; 1],0.019961940750363283,0.20010956289520807,tvm
16,4,4,1024,1024,32,1024,64,2,[16; 4; 4; 1024; 1024; 32; 1024; 64; 2],0.012521672630100511,0.31901291114198166,tvm
64,16,1,1024,1024,16,256,1,1,[64; 16; 1; 1024; 1024; 16; 256; 1; 1],0.03629305824870244,0.11006444292244381,tvm
16,2,1,512,16,16,64,32,1,[16; 2; 1; 512; 16; 16; 64; 32; 1],0.04660019799484871,0.08572013446245029,tvm
