kc,ku,mc,mr,nc,nr,X,time,peak,backend
2,1,64,1,1024,128,[2; 1; 64; 1; 1024; 128],0.025858874258119613,0.15447599142259463,tvm
32,1,8,1,128,128,[32; 1; 8; 1; 128; 128],0.013656740251462907,0.2924984413954377,tvm
1024,8,64,1,1024,16,[1024; 8; 64; 1; 1024; 16],0.06592316704336554,0.06059440735709085,tvm
4,1,8,1,1024,128,[4; 1; 8; 1; 1024; 128],0.010183459933614358,0.39226110419599464,tvm
512,8,1,1,128,64,[512; 8; 1; 1; 128; 64],0.05001535452902317,0.07986697836515874,tvm
256,4,4,1,512,128,[256; 4; 4; 1; 512; 128],0.014300678129075095,0.2793276795716253,tvm
16,8,16,1,512,16,[16; 8; 16; 1; 512; 16],0.012467873122659512,0.32038946809904323,tvm
4096,8,8,1,512,64,[4096; 8; 8; 1; 512; 64],0.048727049987064674,0.08197859790723341,tvm
64,64,8,1,512,64,[64; 64; 8; 1; 512; 64],0.01297329725639429,0.3079074778870413,tvm
256,2,64,1,1024,128,[256; 2; 64; 1; 1024; 128],0.014356669256812893,0.2782382993325301,tvm
512,32,64,1,64,16,[512; 32; 64; 1; 64; 16],0.06722684297710657,0.05941934889692129,tvm
32,8,4,1,1024,64,[32; 8; 4; 1; 1024; 64],0.014597192741348408,0.27365366128105545,tvm
16,16,8,1,128,128,[16; 16; 8; 1; 128; 128],0.009176144063530955,0.43532176592246485,tvm
4096,4,4,1,512,128,[4096; 4; 4; 1; 512; 128],0.049864607251947746,0.08010842676273576,tvm
2048,1,16,1,1024,128,[2048; 1; 16; 1; 1024; 128],0.049045796011341736,0.0814458233519444,tvm
64,8,2,1,512,64,[64; 8; 2; 1; 512; 64],0.014129307368420996,0.2827155736609648,tvm
256,4,16,1,128,64,[256; 4; 16; 1; 128; 64],0.015286134759662673,0.26132016372354605,tvm
64,16,2,1,128,64,[64; 16; 2; 1; 128; 64],0.014434896133025177,0.2767304455316562,tvm
1024,4,4,1,256,16,[1024; 4; 4; 1; 256; 16],0.0665925569483079,0.05998531098897441,tvm
512,64,2,1,128,16,[512; 64; 2; 1; 128; 16],0.06653371796710417,0.06003835889751795,tvm
512,32,64,1,512,128,[512; 32; 64; 1; 512; 128],0.05003008048515767,0.07984347015552576,tvm
1024,8,1,1,128,16,[1024; 8; 1; 1; 128; 16],0.06612747249891981,0.06040719669363575,tvm
4096,8,16,1,128,64,[4096; 8; 16; 1; 128; 64],0.04989655449753627,0.08005713577462502,tvm
2,2,64,1,1024,128,[2; 2; 64; 1; 1024; 128],0.02506955899298191,0.15933966924641546,tvm
2048,8,4,1,128,64,[2048; 8; 4; 1; 128; 64],0.04892910274793394,0.08164006723511626,tvm
32,8,16,1,128,64,[32; 8; 16; 1; 128; 64],0.015595732387737371,0.25613258414437123,tvm
256,1,32,1,256,128,[256; 1; 32; 1; 256; 128],0.014232095621991903,0.2806737211575988,tvm
256,64,64,1,128,128,[256; 64; 64; 1; 128; 128],0.014311394377727993,0.2791185214147804,tvm
32,16,16,1,512,64,[32; 16; 16; 1; 512; 64],0.015137318245251663,0.2638892288168859,tvm
64,32,2,1,256,16,[64; 32; 2; 1; 256; 16],0.0352702084928751,0.11325635454925588,tvm
32,8,4,1,128,64,[32; 8; 4; 1; 128; 64],0.01529577850305941,0.2611554055451481,tvm
8,1,1,1,256,64,[8; 1; 1; 1; 256; 64],0.008717188997252379,0.4582412104813044,tvm
256,32,32,1,64,16,[256; 32; 32; 1; 64; 16],0.033196265751030296,0.12033206590326385,tvm
64,2,1,1,256,128,[64; 2; 1; 1; 256; 128],0.012988766509806737,0.30754076879273073,tvm
128,4,32,1,256,128,[128; 4; 32; 1; 256; 128],0.012911658748635091,0.3093773864274031,tvm
2048,1,4,1,128,16,[2048; 1; 4; 1; 128; 16],0.06570960103999823,0.06079134821810426,tvm
256,32,8,1,256,16,[256; 32; 8; 1; 256; 16],0.033384675247361884,0.11965296078208508,tvm
32,8,16,1,16,16,[32; 8; 16; 1; 16; 16],0.014326350370538421,0.2788271356471866,tvm
4,1,1,1,1024,16,[4; 1; 1; 1; 1024; 16],0.011621155434113462,0.34373305311529645,tvm
1024,64,4,1,1024,16,[1024; 64; 4; 1; 1024; 16],0.06556294701294973,0.060927328927210145,tvm
2048,16,8,1,128,128,[2048; 16; 8; 1; 128; 128],0.049192151258466765,0.0812035077934858,tvm
128,4,4,1,16,16,[128; 4; 4; 1; 16; 16],0.03215643699513748,0.12422319172672257,tvm
4096,8,16,1,512,128,[4096; 8; 16; 1; 512; 128],0.04951014451216906,0.08068195472775108,tvm
8,1,32,1,1024,128,[8; 1; 32; 1; 1024; 128],0.007099479880707804,0.5626574488858171,tvm
32,8,2,1,256,16,[32; 8; 2; 1; 256; 16],0.02701555850217119,0.1478620269047631,tvm
4096,2,16,1,128,64,[4096; 2; 16; 1; 128; 64],0.04918066976824775,0.08122246518639797,tvm
128,8,8,1,256,128,[128; 8; 8; 1; 256; 128],0.012982542757526971,0.30768820197255103,tvm
32,4,8,1,128,16,[32; 4; 8; 1; 128; 16],0.015527720883255824,0.257254446298217,tvm
256,16,64,1,128,128,[256; 16; 64; 1; 128; 128],0.014348085373057984,0.27840475814257587,tvm
1024,16,16,1,1024,128,[1024; 16; 16; 1; 1024; 128],0.049141080235131085,0.08128790044870658,tvm
8,1,4,1,32,16,[8; 1; 4; 1; 32; 16],0.014992756507126614,0.2664336765688463,tvm
1024,32,1,1,512,128,[1024; 32; 1; 1; 512; 128],0.04913698849850334,0.0812946694569389,tvm
1024,16,64,1,64,16,[1024; 16; 64; 1; 64; 16],0.06628398352768272,0.060264562048039115,tvm
32,32,16,1,512,16,[32; 32; 16; 1; 512; 16],0.015809886128408834,0.2526631251895846,tvm
2048,2,1,1,32,16,[2048; 2; 1; 1; 32; 16],0.06635578098939732,0.060199355331730826,tvm
32,1,1,1,512,64,[32; 1; 1; 1; 512; 64],0.01460882399987895,0.2734357836146385,tvm
2048,1,32,1,1024,16,[2048; 1; 32; 1; 1024; 16],0.06646185147110373,0.060103279545740594,tvm
2,2,64,1,128,128,[2; 2; 64; 1; 128; 128],0.00968641837243922,0.4123892944229013,tvm
128,1,8,1,32,16,[128; 1; 8; 1; 32; 16],0.03303384775063023,0.12092370432442368,tvm
2,1,32,1,128,128,[2; 1; 32; 1; 128; 128],0.010172284120926633,0.39269206312056454,tvm
512,2,64,1,16,16,[512; 2; 64; 1; 16; 16],0.06711417599581182,0.05951909829518751,tvm
64,1,64,1,1024,16,[64; 1; 64; 1; 1024; 16],0.03238454775419086,0.12334818656154625,tvm
128,16,32,1,512,128,[128; 16; 32; 1; 512; 128],0.012927521500387229,0.30899776403199836,tvm
2,2,32,1,512,128,[2; 2; 32; 1; 512; 128],0.0162386184965726,0.24599230771622305,tvm
64,32,1,1,1024,64,[64; 32; 1; 1; 1024; 64],0.014382817505975254,0.27773245655350326,tvm
2048,2,16,1,128,64,[2048; 2; 16; 1; 128; 64],0.049584519234485924,0.08056093514197109,tvm
256,2,8,1,256,64,[256; 2; 8; 1; 256; 64],0.015451411250978708,0.25852494462874503,tvm
64,64,64,1,1024,16,[64; 64; 64; 1; 1024; 16],0.020691564364824444,0.19305332200430414,tvm
256,2,64,1,128,16,[256; 2; 64; 1; 128; 16],0.03287098873988725,0.1215228197029567,tvm
4096,8,4,1,512,16,[4096; 8; 4; 1; 512; 16],0.06587148900143802,0.06064194537955615,tvm
64,64,2,1,128,16,[64; 64; 2; 1; 128; 16],0.0349999024765566,0.11413103910134773,tvm
256,1,32,1,64,64,[256; 1; 32; 1; 64; 64],0.015426301120896824,0.2589457580783312,tvm
1,1,4,1,128,64,[1; 1; 4; 1; 128; 64],0.013870412993128411,0.2879925233714529,tvm
128,32,32,1,64,16,[128; 32; 32; 1; 64; 16],0.03254390423535369,0.12274419225200944,tvm
512,32,64,1,128,16,[512; 32; 64; 1; 128; 16],0.06699650798691437,0.05962363350154685,tvm
8,8,1,1,1024,16,[8; 8; 1; 1; 1024; 16],0.009314455499406904,0.4288576222571026,tvm
1024,1,2,1,64,16,[1024; 1; 2; 1; 64; 16],0.06667732947971672,0.05990904658697212,tvm
512,64,16,1,128,64,[512; 64; 16; 1; 128; 64],0.050429529044777155,0.07921103594975859,tvm
4096,16,2,1,1024,128,[4096; 16; 2; 1; 1024; 128],0.04987503751181066,0.08009167385887785,tvm
128,1,2,1,1024,128,[128; 1; 2; 1; 1024; 128],0.012538081500679255,0.3185954117365429,tvm
1,1,64,1,512,64,[1; 1; 64; 1; 512; 64],0.04697035951539874,0.08504459576864977,tvm
1,1,2,1,256,64,[1; 1; 2; 1; 256; 64],0.02865690423641354,0.13939311815194055,tvm
2048,8,64,1,128,128,[2048; 8; 64; 1; 128; 128],0.048898576002102345,0.08169103406863004,tvm
1024,32,16,1,32,16,[1024; 32; 16; 1; 32; 16],0.06726029451237991,0.05938979701255988,tvm
512,32,8,1,256,16,[512; 32; 8; 1; 256; 16],0.06588344852207229,0.060630937324978894,tvm
4096,32,1,1,128,64,[4096; 32; 1; 1; 128; 64],0.04916003849939443,0.0812565522735391,tvm
512,4,1,1,1024,16,[512; 4; 1; 1; 1024; 16],0.06516816798830405,0.061296417582463854,tvm
4096,64,4,1,16,16,[4096; 64; 4; 1; 16; 16],0.06674588052555919,0.059847517279595766,tvm
64,2,16,1,512,128,[64; 2; 16; 1; 512; 128],0.01301990200590808,0.30680532282674694,tvm
128,64,8,1,512,128,[128; 64; 8; 1; 512; 128],0.01280102037708275,0.31205131469414704,tvm
32,1,1,1,16,16,[32; 1; 1; 1; 16; 16],0.029565342236310244,0.13511006252413202,tvm
512,1,4,1,128,128,[512; 1; 4; 1; 128; 128],0.04956931198830716,0.08058565023128651,tvm
2,2,16,1,512,64,[2; 2; 16; 1; 512; 64],0.015804349633981474,0.2527516367713332,tvm
256,8,4,1,32,16,[256; 8; 4; 1; 32; 16],0.03379937799763866,0.11818487424160033,tvm
512,16,32,1,256,16,[512; 16; 32; 1; 256; 16],0.06696748203830793,0.059649476380345165,tvm
64,2,1,1,512,64,[64; 2; 1; 1; 512; 64],0.014182624508976005,0.2816527530265729,tvm
128,1,16,1,32,16,[128; 1; 16; 1; 32; 16],0.033821714750956744,0.11810682183055903,tvm
256,64,4,1,128,64,[256; 64; 4; 1; 128; 64],0.015277117869118229,0.2614744006243501,tvm
