kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
24,2,197,1,768,32,2,[24; 2; 197; 1; 768; 32; 2],0.017392094123351853,0.3976742836356974,tvm
24,2,197,1,32,16,1,[24; 2; 197; 1; 32; 16; 1],0.019822380374534987,0.3489181642540659,tvm
12,2,197,1,512,32,2,[12; 2; 197; 1; 512; 32; 2],0.013927882493590005,0.4965857928950566,tvm
12,12,1,1,256,32,2,[12; 12; 1; 1; 256; 32; 2],0.018822224621544592,0.36745861397870183,tvm
24,6,1,1,96,48,3,[24; 6; 1; 1; 96; 48; 3],0.02093242937553441,0.3304149961452811,tvm
16,8,1,1,32,32,2,[16; 8; 1; 1; 32; 32; 2],0.013312739749380853,0.5195315691310076,tvm
4,4,197,1,96,96,6,[4; 4; 197; 1; 96; 96; 6],0.014614100502512883,0.4732681679751212,tvm
2,1,1,1,32,32,2,[2; 1; 1; 1; 32; 32; 2],0.01798576862347545,0.38454784536709413,tvm
24,1,197,1,1536,48,3,[24; 1; 197; 1; 1536; 48; 3],0.03047592524671927,0.22694597507496903,tvm
3,1,197,1,192,16,1,[3; 1; 197; 1; 192; 16; 1],0.026612727000610903,0.25989026119983133,tvm
3,1,1,1,128,16,1,[3; 1; 1; 1; 128; 16; 1],0.01970015537517611,0.35108294527178274,tvm
12,4,197,1,1536,192,12,[12; 4; 197; 1; 1536; 192; 12],0.02775574824772775,0.24918761006541365,tvm
24,2,197,1,1536,16,1,[24; 2; 197; 1; 1536; 16; 1],0.025882621746859513,0.26722132862246756,tvm
16,16,1,1,3072,64,4,[16; 16; 1; 1; 3072; 64; 4],0.02608366124331951,0.2651617235367976,tvm
24,24,197,1,3072,48,3,[24; 24; 197; 1; 3072; 48; 3],0.020589565501722973,0.33591716983293285,tvm
2,1,197,1,96,48,3,[2; 1; 197; 1; 96; 48; 3],0.02716974176291842,0.25456217551791893,tvm
6,3,197,1,3072,32,2,[6; 3; 197; 1; 3072; 32; 2],0.029278818750754,0.23622498674918221,tvm
12,3,1,1,384,32,2,[12; 3; 1; 1; 384; 32; 2],0.01735697624826571,0.39847888667357306,tvm
4,4,1,1,128,64,4,[4; 4; 1; 1; 128; 64; 4],0.013361359371629078,0.5176410856903173,tvm
16,16,1,1,384,64,4,[16; 16; 1; 1; 384; 64; 4],0.024376045250392053,0.2837371074915169,tvm
6,3,197,1,512,32,2,[6; 3; 197; 1; 512; 32; 2],0.015332362374465447,0.4510973848979164,tvm
12,2,197,1,128,16,1,[12; 2; 197; 1; 128; 16; 1],0.01752388600289123,0.3946834948759339,tvm
8,1,1,1,1536,96,6,[8; 1; 1; 1; 1536; 96; 6],0.02791252925817389,0.2477879559912393,tvm
24,12,197,1,768,192,12,[24; 12; 197; 1; 768; 192; 12],0.022048269376682583,0.31369303654930314,tvm
2,2,197,1,512,128,8,[2; 2; 197; 1; 512; 128; 8],0.025324557253043167,0.2731099502478943,tvm
2,1,197,1,96,96,6,[2; 1; 197; 1; 96; 96; 6],0.025159459240967408,0.2749021155497072,tvm
16,1,1,1,768,96,6,[16; 1; 1; 1; 768; 96; 6],0.029635952741955407,0.23337831017786342,tvm
8,2,197,1,1536,96,6,[8; 2; 197; 1; 1536; 96; 6],0.015540013002464548,0.4450696772474821,tvm
24,1,197,1,128,128,8,[24; 1; 197; 1; 128; 128; 8],0.023028309748042375,0.300342866979915,tvm
32,2,1,1,384,192,12,[32; 2; 1; 1; 384; 192; 12],0.0214592868796899,0.3223028151030766,tvm
4,1,1,1,768,48,3,[4; 1; 1; 1; 768; 48; 3],0.015939129501930438,0.43392511307414283,tvm
8,4,197,1,128,128,8,[8; 4; 197; 1; 128; 128; 8],0.01454292937705759,0.47558427824999416,tvm
12,1,197,1,768,16,1,[12; 1; 197; 1; 768; 16; 1],0.02006682312639896,0.3446678394413961,tvm
12,6,1,1,192,32,2,[12; 6; 1; 1; 192; 32; 2],0.018206328873930033,0.3798892472678702,tvm
24,12,197,1,512,128,8,[24; 12; 197; 1; 512; 128; 8],0.022824241874332074,0.3030281842222622,tvm
12,2,197,1,32,32,2,[12; 2; 197; 1; 32; 32; 2],0.012428758123860462,0.5564826753004902,tvm
24,3,1,1,64,32,2,[24; 3; 1; 1; 64; 32; 2],0.022188163376995362,0.31171523545745417,tvm
6,1,1,1,256,128,8,[6; 1; 1; 1; 256; 128; 8],0.016908558252907824,0.40904661816681714,tvm
24,24,1,1,64,64,4,[24; 24; 1; 1; 64; 64; 4],0.014561092371877749,0.47499105113750867,tvm
16,4,1,1,1536,48,3,[16; 4; 1; 1; 1536; 48; 3],0.02794583624927327,0.24749263216656942,tvm
1,1,1,1,1536,64,4,[1; 1; 1; 1; 1536; 64; 4],0.06676140349009074,0.10359860952376707,tvm
8,2,197,1,3072,32,2,[8; 2; 197; 1; 3072; 32; 2],0.022357431873388123,0.30935523411618193,tvm
24,2,1,1,3072,64,4,[24; 2; 1; 1; 3072; 64; 4],0.025565732998074964,0.2705335525466592,tvm
12,6,197,1,768,128,8,[12; 6; 197; 1; 768; 128; 8],0.015034795993415173,0.4600254352940844,tvm
6,3,197,1,96,96,6,[6; 3; 197; 1; 96; 96; 6],0.010760821434814716,0.6427379743568489,tvm
8,2,197,1,768,128,8,[8; 2; 197; 1; 768; 128; 8],0.014418648126593325,0.47968356746789526,tvm
12,1,1,1,48,16,1,[12; 1; 1; 1; 48; 16; 1],0.01712812487676274,0.4038030211241539,tvm
8,1,197,1,192,48,3,[8; 1; 197; 1; 192; 48; 3],0.011360361626429949,0.6088176414505637,tvm
24,4,1,1,192,192,12,[24; 4; 1; 1; 192; 192; 12],0.022066412500862498,0.3134351164312837,tvm
2,2,197,1,128,128,8,[2; 2; 197; 1; 128; 128; 8],0.025167957501253113,0.2748092915797479,tvm
12,12,1,1,1536,32,2,[12; 12; 1; 1; 1536; 32; 2],0.026090968254720792,0.2650874626002869,tvm
24,2,1,1,48,16,1,[24; 2; 1; 1; 48; 16; 1],0.025549800498993136,0.27070225349513516,tvm
64,64,197,1,384,128,8,[64; 64; 197; 1; 384; 128; 8],0.021144145874131937,0.3271065481954598,tvm
64,2,197,1,256,128,8,[64; 2; 197; 1; 256; 128; 8],0.021582367247901857,0.32046477997453926,tvm
24,3,197,1,48,16,1,[24; 3; 197; 1; 48; 16; 1],0.019989489373983815,0.3460012630652889,tvm
24,6,1,1,768,128,8,[24; 6; 1; 1; 768; 128; 8],0.023344072375039104,0.2962802916437148,tvm
8,1,197,1,64,16,1,[8; 1; 197; 1; 64; 16; 1],0.018435614627378527,0.37516452319181803,tvm
3,3,197,1,3072,32,2,[3; 3; 197; 1; 3072; 32; 2],0.0597527569916565,0.11575011630667238,tvm
12,12,1,1,32,32,2,[12; 12; 1; 1; 32; 32; 2],0.01244819231578731,0.5556138912359927,tvm
12,6,1,1,1536,192,12,[12; 6; 1; 1; 1536; 192; 12],0.0271180912386626,0.2550470278515691,tvm
12,12,197,1,1024,128,8,[12; 12; 197; 1; 1024; 128; 8],0.016577784874243662,0.41720824729571243,tvm
4,2,197,1,384,32,2,[4; 2; 197; 1; 384; 32; 2],0.01581423637253465,0.43735204207776973,tvm
2,1,197,1,48,16,1,[2; 1; 197; 1; 48; 16; 1],0.031303613242926076,0.22094537514743676,tvm
16,1,197,1,3072,48,3,[16; 1; 197; 1; 3072; 48; 3],0.03643780200218316,0.1898135505268451,tvm
2,2,197,1,96,16,1,[2; 2; 197; 1; 96; 16; 1],0.03613704550662078,0.19139330497180235,tvm
16,2,197,1,256,32,2,[16; 2; 197; 1; 256; 32; 2],0.01346625587757444,0.5136088779470274,tvm
24,1,1,1,768,16,1,[24; 1; 1; 1; 768; 16; 1],0.03417851749691181,0.20236069548813812,tvm
4,2,197,1,768,128,8,[4; 2; 197; 1; 768; 128; 8],0.014298212874564342,0.4837239892918652,tvm
4,4,197,1,16,16,1,[4; 4; 197; 1; 16; 16; 1],0.01943820024462184,0.35581424640083115,tvm
24,12,1,1,384,16,1,[24; 12; 1; 1; 384; 16; 1],0.03050818049814552,0.22670603289006347,tvm
3,1,1,1,384,16,1,[3; 1; 1; 1; 384; 16; 1],0.02997422900807578,0.23074450287162113,tvm
24,3,1,1,1536,32,2,[24; 3; 1; 1; 1536; 32; 2],0.029834113753167912,0.23182818932217014,tvm
3,3,1,1,3072,16,1,[3; 3; 1; 1; 3072; 16; 1],0.043020937009714544,0.1607679667662,tvm
16,2,197,1,1536,48,3,[16; 2; 197; 1; 1536; 48; 3],0.01749108049989445,0.3954237459184015,tvm
24,4,1,1,128,64,4,[24; 4; 1; 1; 128; 64; 4],0.026280792997567914,0.26317275023126696,tvm
4,4,1,1,1536,32,2,[4; 4; 1; 1; 1536; 32; 2],0.02460057237476576,0.2811474654355243,tvm
