kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
24,2,1,1,128,16,1,[24; 2; 1; 1; 128; 16; 1],0.02298457249708008,0.3009143882187592,tvm
32,32,1,1,384,128,8,[32; 32; 1; 1; 384; 128; 8],0.021121162877534516,0.327462489235627,tvm
24,6,197,1,64,16,1,[24; 6; 197; 1; 64; 16; 1],0.023085382621502504,0.29960034385509443,tvm
12,4,1,1,128,32,2,[12; 4; 1; 1; 128; 32; 2],0.018417572253383696,0.37553204495548453,tvm
2,1,197,1,256,16,1,[2; 1; 197; 1; 256; 16; 1],0.06771953299175948,0.10213284507248742,tvm
48,2,197,1,768,128,8,[48; 2; 197; 1; 768; 128; 8],0.020779382000910118,0.3328486174962104,tvm
4,2,1,1,96,96,6,[4; 2; 1; 1; 96; 96; 6],0.014803751619183458,0.46720512133329506,tvm
12,4,197,1,96,32,2,[12; 4; 197; 1; 96; 32; 2],0.015763306131702848,0.43876509874527325,tvm
3,1,1,1,64,32,2,[3; 1; 1; 1; 64; 32; 2],0.01891939149936661,0.36557140707512287,tvm
24,2,1,1,128,64,4,[24; 2; 1; 1; 128; 64; 4],0.014280863630119711,0.4843116460296732,tvm
6,3,197,1,48,16,1,[6; 3; 197; 1; 48; 16; 1],0.027182857767911628,0.2544393466824197,tvm
24,24,197,1,128,64,4,[24; 24; 197; 1; 128; 64; 4],0.015338868877734058,0.45090603658972656,tvm
12,12,1,1,96,32,2,[12; 12; 1; 1; 96; 32; 2],0.017557631377712823,0.3939249220261023,tvm
24,2,197,1,768,16,1,[24; 2; 197; 1; 768; 16; 1],0.02479431925166864,0.2789505330324043,tvm
12,2,197,1,96,96,6,[12; 2; 197; 1; 96; 96; 6],0.01507718524953816,0.45873208141688326,tvm
8,1,197,1,768,192,12,[8; 1; 197; 1; 768; 192; 12],0.014696525249746628,0.47061386646804904,tvm
24,12,197,1,128,128,8,[24; 12; 197; 1; 128; 128; 8],0.012678651124588214,0.5455145427903875,tvm
2,2,1,1,768,96,6,[2; 2; 1; 1; 768; 96; 6],0.028166789503302425,0.24555118610935964,tvm
8,4,197,1,256,64,4,[8; 4; 197; 1; 256; 64; 4],0.013250217874883674,0.5219830071276689,tvm
8,2,1,1,96,32,2,[8; 2; 1; 1; 96; 32; 2],0.016011055995477363,0.43197579056510954,tvm
