kc,ku,mc,mr,nc,nr,X,time,peak,backend
3072,64,1,1,384,96,[3072; 64; 1; 1; 384; 96],0.09265151401632465,0.07464949326364968,tvm
768,16,1,1,256,64,[768; 16; 1; 1; 256; 64],0.01999906999844825,0.3458355099494737,tvm
96,8,1,1,768,64,[96; 8; 1; 1; 768; 64],0.02030989187915111,0.3405428553033565,tvm
768,48,197,1,96,96,[768; 48; 197; 1; 96; 96],0.020188066497212276,0.3425978695078917,tvm
1024,4,1,1,16,16,[1024; 4; 1; 1; 16; 16],0.05542120148311369,0.12479679953412645,tvm
32,8,197,1,384,128,[32; 8; 197; 1; 384; 128],0.012388721250317758,0.5582810712809583,tvm
64,16,1,1,32,16,[64; 16; 1; 1; 32; 16],0.04401292400143575,0.15714449172254383,tvm
1536,24,197,1,48,16,[1536; 24; 197; 1; 48; 16],0.11269120301585644,0.06137469816925627,tvm
384,4,1,1,32,16,[384; 4; 1; 1; 32; 16],0.05325193901080638,0.12988050200435017,tvm
3072,1,1,1,128,64,[3072; 1; 1; 1; 128; 64],0.08552113099722192,0.08087344602181704,tvm
48,3,1,1,48,16,[48; 3; 1; 1; 48; 16],0.03955727850552648,0.17484490421812748,tvm
96,4,1,1,256,16,[96; 4; 1; 1; 256; 16],0.044377169251674786,0.15585465878194896,tvm
384,48,197,1,96,96,[384; 48; 197; 1; 96; 96],0.020348384998214897,0.3398986490591428,tvm
768,16,197,1,384,128,[768; 16; 197; 1; 384; 128],0.02002303425251739,0.34542160215098316,tvm
256,1,197,1,256,64,[256; 1; 197; 1; 256; 64],0.020830920118896756,0.332025111322585,tvm
1536,48,1,1,768,16,[1536; 48; 1; 1; 768; 16],0.11439616896677762,0.060459966744491195,tvm
384,3,197,1,64,64,[384; 3; 197; 1; 64; 64],0.021021543878305238,0.3290143013028866,tvm
32,32,197,1,384,96,[32; 32; 197; 1; 384; 96],0.0159492883758503,0.43364872516199887,tvm
3072,64,197,1,384,16,[3072; 64; 197; 1; 384; 16],0.11699299595784396,0.05911797124949899,tvm
768,3,1,1,256,16,[768; 3; 1; 1; 256; 16],0.054470165487146005,0.1269757216555679,tvm
24,24,1,1,192,16,[24; 24; 1; 1; 192; 16],0.02129134287679335,0.3248451077722832,tvm
