i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
1,1,1,768,384,128,768,2,8,[1; 1; 1; 768; 384; 128; 768; 2; 8],0.021931378629233222,0.07884124259075803,tvm
197,197,1,128,64,32,128,8,2,[197; 197; 1; 128; 64; 32; 128; 8; 2],0.0069027443751110695,0.2504941583946922,tvm
1,1,1,384,384,128,4,2,8,[1; 1; 1; 384; 384; 128; 4; 2; 8],0.021996205250616185,0.07860888381229782,tvm
1,1,1,32,32,16,12,4,1,[1; 1; 1; 32; 32; 16; 12; 4; 1],0.02088380711938953,0.08279606936475514,tvm
197,197,1,768,192,32,768,8,2,[197; 197; 1; 768; 192; 32; 768; 8; 2],0.007909667248895857,0.21860554792599074,tvm
197,197,1,192,192,32,12,2,2,[197; 197; 1; 192; 192; 32; 12; 2; 2],0.003795892282141722,0.45551796898766317,tvm
197,197,1,256,128,16,192,6,1,[197; 197; 1; 256; 128; 16; 192; 6; 1],0.01254863975191256,0.13779159949137978,tvm
197,197,1,768,128,128,192,32,8,[197; 197; 1; 768; 128; 128; 192; 32; 8],0.00570306437475665,0.30318737949208635,tvm
197,197,1,96,96,32,24,12,2,[197; 197; 1; 96; 96; 32; 24; 12; 2],0.004565200531942537,0.3787560109920068,tvm
197,1,1,192,16,16,384,16,1,[197; 1; 1; 192; 16; 16; 384; 16; 1],0.013800705753965303,0.12529048685501668,tvm
197,197,1,192,48,16,2,1,1,[197; 197; 1; 192; 48; 16; 2; 1; 1],0.006627581562497653,0.26089413258092287,tvm
1,1,1,128,32,32,192,4,2,[1; 1; 1; 128; 32; 32; 192; 4; 2],0.02155268500064267,0.08022653060653852,tvm
1,1,1,64,64,64,48,6,4,[1; 1; 1; 64; 64; 64; 48; 6; 4],0.021096367498103064,0.08196184215185952,tvm
197,1,1,192,96,32,4,2,2,[197; 1; 1; 192; 96; 32; 4; 2; 2],0.0061550379687105305,0.280923879210348,tvm
197,1,1,384,384,48,128,4,3,[197; 1; 1; 384; 384; 48; 128; 4; 3],0.01432579087850172,0.12069819792301634,tvm
197,197,1,256,16,16,32,1,1,[197; 197; 1; 256; 16; 16; 32; 1; 1],0.009834806249273242,0.17581405256305044,tvm
197,1,1,192,192,16,24,8,1,[197; 1; 1; 192; 192; 16; 24; 8; 1],0.008534875374607509,0.20259196144813751,tvm
1,1,1,768,192,192,12,12,12,[1; 1; 1; 768; 192; 192; 12; 12; 12],0.022171992750372738,0.0779856444264837,tvm
197,197,1,768,192,48,768,6,3,[197; 197; 1; 768; 192; 48; 768; 6; 3],0.007040641437924933,0.24558801326584165,tvm
1,1,1,768,768,192,384,48,12,[1; 1; 1; 768; 768; 192; 384; 48; 12],0.022954939377086703,0.07532571158010128,tvm
