kc,ku,mc,mr,nc,nr,X,time,peak,backend
40,5,6,1,1280,16,[40; 5; 6; 1; 1280; 16],0.7131433230824769,0.20512807110555528,tvm
80,1,750,1,2560,16,[80; 1; 750; 1; 2560; 16],1.2226282639894634,0.11964856252249619,tvm
40,10,150,1,128,16,[40; 10; 150; 1; 128; 16],0.5961902289418504,0.24536751389795475,tvm
2,2,20,1,5120,16,[2; 2; 20; 1; 5120; 16],1.5879194270819426,0.09212414168553743,tvm
8,4,2,1,5120,16,[8; 4; 2; 1; 5120; 16],0.5441269481088966,0.2688448252638978,tvm
32,8,60,1,128,128,[32; 8; 60; 1; 128; 128],0.48664123995695263,0.3006027896416145,tvm
160,40,2,1,640,64,[160; 40; 2; 1; 640; 64],0.5057227669749409,0.2892606855743216,tvm
5,1,1500,1,32,16,[5; 1; 1500; 1; 32; 16],0.7022931339452043,0.20829722976777398,tvm
40,2,100,1,64,64,[40; 2; 100; 1; 64; 64],0.5518652790924534,0.26507504608059823,tvm
32,32,30,1,2560,64,[32; 32; 30; 1; 2560; 64],0.3566600050544366,0.4101545231105654,tvm
256,32,1500,1,640,128,[256; 32; 1500; 1; 640; 128],0.5181771570350975,0.28230830382939087,tvm
1280,2,12,1,5120,64,[1280; 2; 12; 1; 5120; 64],1.8089611459290609,0.08086725058463524,tvm
320,64,4,1,640,64,[320; 64; 4; 1; 640; 64],1.223920856951736,0.11952220068383304,tvm
320,2,12,1,128,128,[320; 2; 12; 1; 128; 128],1.270651530008763,0.1151265400709079,tvm
640,10,300,1,5120,128,[640; 10; 300; 1; 5120; 128],1.8537831580033526,0.07891198798206459,tvm
256,1,3,1,1280,128,[256; 1; 3; 1; 1280; 128],0.7457310040481389,0.1961641845271478,tvm
320,1,5,1,512,64,[320; 1; 5; 1; 512; 64],1.2327230689115822,0.11866875697789568,tvm
8,8,3,1,2560,16,[8; 8; 3; 1; 2560; 16],0.39196785201784223,0.37320844944971515,tvm
40,20,375,1,512,64,[40; 20; 375; 1; 512; 64],0.5492624560138211,0.26633117316511673,tvm
10,5,75,1,640,128,[10; 5; 75; 1; 640; 128],0.3611415249761194,0.40506478532311535,tvm
160,4,100,1,1280,128,[160; 4; 100; 1; 1280; 128],0.45998561894521117,0.31802236474514295,tvm
16,2,100,1,320,16,[16; 2; 100; 1; 320; 16],0.5040161570068449,0.2902401287181903,tvm
64,1,250,1,64,16,[64; 1; 250; 1; 64; 16],1.2164096989436075,0.12026023338416021,tvm
640,1,50,1,5120,16,[640; 1; 50; 1; 5120; 16],2.4270359319634736,0.06027340277874216,tvm
16,8,5,1,128,16,[16; 8; 5; 1; 128; 16],0.5285919460002333,0.2767460143739113,tvm
640,1,375,1,320,64,[640; 1; 375; 1; 320; 64],1.962980572017841,0.07452224253821334,tvm
320,40,5,1,64,16,[320; 40; 5; 1; 64; 16],1.8498833630001172,0.07907834472789138,tvm
640,20,1,1,5120,64,[640; 20; 1; 1; 5120; 64],1.8244692439911887,0.08017987410174221,tvm
640,64,300,1,5120,64,[640; 64; 300; 1; 5120; 64],1.9418431430822238,0.07533343504435677,tvm
8,8,20,1,128,64,[8; 8; 20; 1; 128; 64],0.3611979039851576,0.40500155917772296,tvm
1280,16,300,1,1280,128,[1280; 16; 300; 1; 1280; 128],1.859210003982298,0.07868165186954701,tvm
128,16,150,1,640,128,[128; 16; 150; 1; 640; 128],0.45594328199513257,0.3208419118395432,tvm
10,5,3,1,256,16,[10; 5; 3; 1; 256; 16],0.44654117699246854,0.32759736799856554,tvm
8,8,30,1,640,128,[8; 8; 30; 1; 640; 128],0.39961552200838923,0.36606614665644366,tvm
256,4,25,1,16,16,[256; 4; 25; 1; 16; 16],1.3553704160731286,0.10793043182213112,tvm
160,4,25,1,2560,128,[160; 4; 25; 1; 2560; 128],0.5073494348907843,0.28833325559376016,tvm
80,5,375,1,320,64,[80; 5; 375; 1; 320; 64],0.527914009988308,0.27710140575536946,tvm
20,5,5,1,1280,64,[20; 5; 5; 1; 1280; 64],0.45581537391990423,0.32093194450132695,tvm
80,4,4,1,1024,128,[80; 4; 4; 1; 1024; 128],0.46034968504682183,0.31777085775747993,tvm
1280,10,4,1,128,128,[1280; 10; 4; 1; 128; 128],1.863390548969619,0.07850512838900277,tvm
640,5,1,1,320,16,[640; 5; 1; 1; 320; 16],2.397472085081972,0.06101664966026607,tvm
320,40,50,1,512,64,[320; 40; 50; 1; 512; 64],1.2246246839640662,0.11945350783898352,tvm
1280,4,1,1,1024,128,[1280; 4; 1; 1; 1024; 128],1.8177610269049183,0.0804757677827395,tvm
640,8,1,1,256,16,[640; 8; 1; 1; 256; 16],2.6741032539866865,0.05470458706769241,tvm
160,5,2,1,5120,16,[160; 5; 2; 1; 5120; 16],1.8923071180470288,0.07730548222885177,tvm
256,1,500,1,640,64,[256; 1; 500; 1; 640; 64],0.5673299460904673,0.2578494495025076,tvm
32,4,100,1,160,16,[32; 4; 100; 1; 160; 16],0.5618295660242438,0.2603738271036484,tvm
1280,2,1,1,160,16,[1280; 2; 1; 1; 160; 16],2.4631577470572665,0.0593895029502198,tvm
