kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
160,10,1500,30,32,16,1,[160; 10; 1500; 30; 32; 16; 1],0.7505549070192501,0.19490341468377395,tvm
8,2,375,15,640,16,1,[8; 2; 375; 15; 640; 16; 1],1.1153561220271513,0.13115605984198223,tvm
16,16,125,1,1280,32,2,[16; 16; 125; 1; 1280; 32; 2],0.44520763400942087,0.32857862963468143,tvm
20,5,1,1,1280,80,5,[20; 5; 1; 1; 1280; 80; 5],0.5749650140060112,0.25442541845543476,tvm
4,2,30,5,640,16,1,[4; 2; 30; 5; 640; 16; 1],0.8150100320344791,0.17948946459045018,tvm
5,5,60,20,16,16,1,[5; 5; 60; 20; 16; 16; 1],1.016302144038491,0.14393919676723022,tvm
8,8,50,2,256,16,1,[8; 8; 50; 2; 256; 16; 1],0.5111353739630431,0.2861975940962585,tvm
2,2,50,1,128,16,1,[2; 2; 50; 1; 128; 16; 1],0.9286151980049908,0.15753103610622587,tvm
5,5,60,1,1280,16,1,[5; 5; 60; 1; 1280; 16; 1],0.6486434480175376,0.22552561770693955,tvm
160,1,25,5,64,32,2,[160; 1; 25; 5; 64; 32; 2],0.594214373966679,0.24618339894604666,tvm
20,4,500,4,64,64,4,[20; 4; 500; 4; 64; 64; 4],0.38568158098496497,0.3792914193934943,tvm
80,1,50,5,640,32,2,[80; 1; 50; 5; 640; 32; 2],0.5875004730187356,0.24899676000950077,tvm
40,4,300,4,256,32,2,[40; 4; 300; 4; 256; 32; 2],0.4468849659897387,0.3273453470553164,tvm
80,1,125,5,64,64,4,[80; 1; 125; 5; 64; 64; 4],0.3968572310404852,0.36861042925230464,tvm
80,40,100,10,80,16,1,[80; 40; 100; 10; 80; 16; 1],0.43258991092443466,0.33816256595791866,tvm
320,1,15,15,32,16,1,[320; 1; 15; 15; 32; 16; 1],0.6457781220087782,0.22652627783467372,tvm
10,5,375,1,128,128,8,[10; 5; 375; 1; 128; 128; 8],0.4709626520052552,0.3106100105026629,tvm
10,10,60,4,64,16,1,[10; 10; 60; 4; 64; 16; 1],0.44580907304771245,0.32813534566636815,tvm
64,32,10,10,16,16,1,[64; 32; 10; 10; 16; 16; 1],0.42007665103301406,0.3482357658441188,tvm
4,2,375,5,256,64,4,[4; 2; 375; 5; 256; 64; 4],0.785084318020381,0.18633121427591257,tvm
40,2,1500,20,16,16,1,[40; 2; 1500; 20; 16; 16; 1],0.9665118640987203,0.15135428722556535,tvm
160,2,12,6,128,32,2,[160; 2; 12; 6; 128; 32; 2],0.572146408027038,0.2556788126839053,tvm
160,40,75,25,256,16,1,[160; 40; 75; 25; 256; 16; 1],1.0173336169682443,0.1437932570454718,tvm
4,4,20,2,64,64,4,[4; 4; 20; 2; 64; 64; 4],0.48263879504520446,0.3030956396118406,tvm
16,4,60,20,256,16,1,[16; 4; 60; 20; 256; 16; 1],0.8000639430247247,0.18284252847674398,tvm
32,32,500,1,1280,160,10,[32; 32; 500; 1; 1280; 160; 10],0.3706966789904982,0.3946237519151444,tvm
5,5,50,5,256,64,4,[5; 5; 50; 5; 256; 64; 4],0.5446264310739934,0.2685982646806941,tvm
64,4,12,6,64,32,2,[64; 4; 12; 6; 64; 32; 2],0.39376062096562237,0.3715092533300477,tvm
4,2,300,6,128,64,4,[4; 2; 300; 6; 128; 64; 4],0.5879937560530379,0.24878787024486548,tvm
80,80,750,10,1280,16,1,[80; 80; 750; 10; 1280; 16; 1],0.7147517299745232,0.2046664710988927,tvm
40,4,1500,2,640,64,4,[40; 4; 1500; 2; 640; 64; 4],0.33489717706106603,0.43680784523017996,tvm
40,20,4,1,1280,160,10,[40; 20; 4; 1; 1280; 160; 10],0.4646921269595623,0.31480136158718297,tvm
20,2,75,5,128,64,4,[20; 2; 75; 5; 128; 64; 4],0.5291150249540806,0.2764724254398365,tvm
40,4,100,20,16,16,1,[40; 4; 100; 20; 16; 16; 1],0.7293013490270823,0.2005833589652143,tvm
8,4,30,1,64,64,4,[8; 4; 30; 1; 64; 64; 4],0.39022234606090933,0.3748778504419138,tvm
16,16,4,1,640,160,10,[16; 16; 4; 1; 640; 160; 10],0.5679799820063636,0.25755434860391846,tvm
40,5,10,5,1280,32,2,[40; 5; 10; 5; 1280; 32; 2],0.3371587770525366,0.43387781734336944,tvm
10,10,1500,4,64,32,2,[10; 10; 1500; 4; 64; 32; 2],0.3782433340093121,0.38675027722263267,tvm
32,1,1500,4,256,32,2,[32; 1; 1500; 4; 256; 32; 2],0.7168985140742734,0.20405358835847515,tvm
320,64,300,12,128,16,1,[320; 64; 300; 12; 128; 16; 1],0.6237248600227758,0.23453564810671898,tvm
32,8,75,3,320,80,5,[32; 8; 75; 3; 320; 80; 5],0.2998059190576896,0.48793471038030284,tvm
320,32,60,12,640,16,1,[320; 32; 60; 12; 640; 16; 1],0.4609096960630268,0.3173847622110136,tvm
40,2,300,2,640,80,5,[40; 2; 300; 2; 640; 80; 5],0.6146172799635679,0.238011066487401,tvm
160,160,30,10,320,16,1,[160; 160; 30; 10; 320; 16; 1],0.62110877095256,0.2355235042991971,tvm
10,5,100,2,256,128,8,[10; 5; 100; 2; 256; 128; 8],0.3753571229754016,0.3897240929548069,tvm
64,32,100,2,1280,80,5,[64; 32; 100; 2; 1280; 80; 5],0.3761148169869557,0.3889389826691878,tvm
256,16,150,10,640,16,1,[256; 16; 150; 10; 640; 16; 1],0.3211914380080998,0.45544711650135977,tvm
64,4,150,15,16,16,1,[64; 4; 150; 15; 16; 16; 1],0.6135545240249485,0.2384233324954931,tvm
8,8,1500,15,64,16,1,[8; 8; 1500; 15; 64; 16; 1],0.6494583169696853,0.22524265293617368,tvm
80,2,375,5,256,64,4,[80; 2; 375; 5; 256; 64; 4],0.5420662979595363,0.2698668314860521,tvm
16,2,6,2,1280,128,8,[16; 2; 6; 2; 1280; 128; 8],0.29325725894887,0.49883066768764794,tvm
80,8,20,2,640,80,5,[80; 8; 20; 2; 640; 80; 5],0.3200959590030834,0.4570058139481391,tvm
64,1,300,12,160,32,2,[64; 1; 300; 12; 160; 32; 2],0.5895816320553422,0.2481178285282519,tvm
80,8,100,10,640,32,2,[80; 8; 100; 10; 640; 32; 2],0.2909845180111006,0.5027267955202129,tvm
4,2,125,5,64,16,1,[4; 2; 125; 5; 64; 16; 1],0.7449037000769749,0.19638204813668908,tvm
2,1,300,30,80,16,1,[2; 1; 300; 30; 80; 16; 1],1.6363694980973378,0.08939650516329328,tvm
10,5,6,6,64,16,1,[10; 5; 6; 6; 64; 16; 1],0.56151426397264,0.2605200324756881,tvm
