kc,ku,mc,mr,nc,nr,X,time,peak,backend
16,16,15,1,80,16,[16; 16; 15; 1; 80; 16],0.10032332199625671,0.3645356617356943,tvm
640,10,100,1,160,16,[640; 10; 100; 1; 160; 16],0.28496265097055584,0.1283376205508678,tvm
1280,4,250,1,1280,16,[1280; 4; 250; 1; 1280; 16],0.4383236189605668,0.08343476597987906,tvm
40,40,25,1,640,128,[40; 40; 25; 1; 640; 128],0.0994417464826256,0.36776735993688836,tvm
160,1,1500,1,16,16,[160; 1; 1500; 1; 16; 16],0.26817570603452623,0.1363711467835949,tvm
320,4,10,1,64,64,[320; 4; 10; 1; 64; 64],0.11169634596444666,0.3274183076953062,tvm
20,10,500,1,64,16,[20; 10; 500; 1; 64; 16],0.11657234700396657,0.3137230184632396,tvm
8,8,150,1,64,64,[8; 8; 150; 1; 64; 64],0.0932274404913187,0.3922818043560264,tvm
40,4,50,1,16,16,[40; 4; 50; 1; 16; 16],0.16202553897164762,0.22571397573211038,tvm
1280,1,300,1,256,16,[1280; 1; 300; 1; 256; 16],0.447879693005234,0.08165458077823858,tvm
64,64,25,1,320,16,[64; 64; 25; 1; 320; 16],0.1905523929744959,0.19192321859911465,tvm
2,1,4,1,128,16,[2; 1; 4; 1; 128; 16],0.15336848504375666,0.23845465097340302,tvm
1280,8,2,1,1280,64,[1280; 8; 2; 1; 1280; 64],0.4212950380751863,0.0868071666320026,tvm
80,10,75,1,256,64,[80; 10; 75; 1; 256; 64],0.11089770193211734,0.3297762526568374,tvm
64,1,60,1,128,64,[64; 1; 60; 1; 128; 64],0.11443015793338418,0.31959606830848497,tvm
320,40,100,1,64,16,[320; 40; 100; 1; 64; 16],0.27476459194440395,0.13310095130026237,tvm
320,64,125,1,1280,64,[320; 64; 125; 1; 1280; 64],0.1062175480183214,0.3443068424543221,tvm
32,32,3,1,128,64,[32; 32; 3; 1; 128; 64],0.15866147994529456,0.23049973178138866,tvm
160,16,20,1,640,128,[160; 16; 20; 1; 640; 128],0.10485107102431357,0.3487940391467069,tvm
64,64,1500,1,32,16,[64; 64; 1500; 1; 32; 16],0.20144152001012117,0.18154861306443226,tvm
80,8,25,1,640,16,[80; 8; 25; 1; 640; 16],0.2285945499315858,0.1599838166849286,tvm
640,10,25,1,256,128,[640; 10; 25; 1; 256; 128],0.10326573590282351,0.35414872369518097,tvm
64,64,75,1,160,16,[64; 64; 75; 1; 160; 16],0.18628832302056253,0.196316269202723,tvm
20,20,750,1,640,64,[20; 20; 750; 1; 640; 64],0.09177250799257308,0.3985009167929486,tvm
320,4,375,1,1280,128,[320; 4; 375; 1; 1280; 128],0.10704700101632625,0.3416389831028605,tvm
128,2,75,1,640,16,[128; 2; 75; 1; 640; 16],0.25691311503760517,0.14234940308934987,tvm
64,4,4,1,320,16,[64; 4; 4; 1; 320; 16],0.21607296995352954,0.169254990937987,tvm
160,1,75,1,256,64,[160; 1; 75; 1; 256; 64],0.10915971896611154,0.335026774691332,tvm
128,64,1,1,128,128,[128; 64; 1; 1; 128; 128],0.10752013197634369,0.34013563691937176,tvm
256,32,1500,1,320,16,[256; 32; 1500; 1; 320; 16],0.28304276906419545,0.12920813590236604,tvm
64,4,5,1,1280,64,[64; 4; 5; 1; 1280; 64],0.11013689497485757,0.33205429097830685,tvm
256,16,100,1,32,16,[256; 16; 100; 1; 32; 16],0.2762006690027192,0.13240890655144838,tvm
160,40,500,1,256,128,[160; 40; 500; 1; 256; 128],0.10866444697603583,0.33655376334353226,tvm
128,16,375,1,320,16,[128; 16; 375; 1; 320; 16],0.26172280800528824,0.13973344107896638,tvm
1,1,25,1,160,16,[1; 1; 25; 1; 160; 16],0.34577325405552983,0.1057670833197392,tvm
320,2,60,1,256,128,[320; 2; 60; 1; 256; 128],0.1041639830218628,0.3510947595365344,tvm
20,10,500,1,16,16,[20; 10; 500; 1; 16; 16],0.13668813393451273,0.2675537921159268,tvm
320,4,1,1,640,16,[320; 4; 1; 1; 640; 16],0.27851555799134076,0.1313083866308309,tvm
16,16,375,1,640,16,[16; 16; 375; 1; 640; 16],0.14001089904922992,0.2612041549606043,tvm
1280,20,30,1,128,64,[1280; 20; 30; 1; 128; 64],0.3057091400260106,0.11962818176884399,tvm
32,2,75,1,80,16,[32; 2; 75; 1; 80; 16],0.1341900620609522,0.2725345529299852,tvm
20,4,60,1,16,16,[20; 4; 60; 1; 16; 16],0.13668798306025565,0.26755408743800785,tvm
128,16,100,1,320,64,[128; 16; 100; 1; 320; 64],0.10741638694889843,0.34046414714010836,tvm
160,40,1500,1,32,16,[160; 40; 1500; 1; 32; 16],0.26461648708209395,0.1382054042614614,tvm
16,8,300,1,640,64,[16; 8; 300; 1; 640; 64],0.08796453551622108,0.4157519659122696,tvm
32,16,30,1,320,64,[32; 16; 30; 1; 320; 64],0.08461792347952724,0.43219482430665884,tvm
5,5,6,1,16,16,[5; 5; 6; 1; 16; 16],0.16784620098769665,0.21788654349173686,tvm
5,1,2,1,32,16,[5; 1; 2; 1; 32; 16],0.11447102902457118,0.31948195873716245,tvm
320,40,5,1,80,16,[320; 40; 5; 1; 80; 16],0.275059389998205,0.13295829883018076,tvm
320,32,75,1,640,64,[320; 32; 75; 1; 640; 64],0.10726420895662159,0.34094717079597653,tvm
32,16,125,1,320,64,[32; 16; 125; 1; 320; 64],0.08707658998901024,0.41999151064648005,tvm
64,4,300,1,256,128,[64; 4; 300; 1; 256; 128],0.11308360903058201,0.3234016749636837,tvm
64,2,3,1,256,64,[64; 2; 3; 1; 256; 64],0.11510907905176282,0.31771106912412145,tvm
1280,8,75,1,320,16,[1280; 8; 75; 1; 320; 16],0.4323366630123928,0.08459016248265826,tvm
10,1,12,1,256,64,[10; 1; 12; 1; 256; 64],0.085198919987306,0.42924756061317965,tvm
256,32,125,1,160,16,[256; 32; 125; 1; 160; 16],0.27217239304445684,0.1343686189563501,tvm
1280,2,150,1,1280,64,[1280; 2; 150; 1; 1280; 64],0.30701864999718964,0.11911793818311474,tvm
128,1,500,1,128,64,[128; 1; 500; 1; 128; 64],0.11999679007567465,0.30477005716873934,tvm
1280,20,30,1,640,64,[1280; 20; 30; 1; 640; 64],0.30943920800928026,0.11818614973423722,tvm
128,1,3,1,80,16,[128; 1; 3; 1; 80; 16],0.2630520110251382,0.13902736735942944,tvm
256,16,50,1,64,16,[256; 16; 50; 1; 64; 16],0.27133830497041345,0.13478166518146525,tvm
320,1,60,1,1280,16,[320; 1; 60; 1; 1280; 16],0.2869989359751344,0.1274270528117816,tvm
1280,32,125,1,64,16,[1280; 32; 125; 1; 64; 16],0.4047447800403461,0.09035676400269581,tvm
64,1,125,1,320,64,[64; 1; 125; 1; 320; 64],0.11316546704620123,0.323167743005009,tvm
20,1,60,1,128,128,[20; 1; 60; 1; 128; 128],0.09239222650649026,0.3958279820094989,tvm
4,4,30,1,80,16,[4; 4; 30; 1; 80; 16],0.11374905798584223,0.3215097269287315,tvm
160,1,375,1,640,128,[160; 1; 375; 1; 640; 128],0.12228346394840628,0.29907092415094455,tvm
20,4,15,1,128,64,[20; 4; 15; 1; 128; 64],0.09035910450620577,0.40473429624257606,tvm
128,1,500,1,64,16,[128; 1; 500; 1; 64; 16],0.2722128089517355,0.1343486690147371,tvm
64,8,2,1,1280,64,[64; 8; 2; 1; 1280; 64],0.1122779380530119,0.32572230311320305,tvm
80,5,150,1,640,128,[80; 5; 150; 1; 640; 128],0.11576605506706983,0.31590804878200845,tvm
160,5,12,1,64,64,[160; 5; 12; 1; 64; 64],0.12614173104520887,0.28992331299402785,tvm
5,1,75,1,256,128,[5; 1; 75; 1; 256; 128],0.12051705899648368,0.30345437298213207,tvm
5,1,10,1,256,128,[5; 1; 10; 1; 256; 128],0.12082579208072275,0.3026789888287717,tvm
128,4,20,1,256,16,[128; 4; 20; 1; 256; 16],0.24849370098672807,0.14717245719392233,tvm
2,2,750,1,256,64,[2; 2; 750; 1; 256; 64],0.25802309392020106,0.14173703607607713,tvm
10,10,2,1,256,128,[10; 10; 2; 1; 256; 128],0.1610464840196073,0.22708616579903743,tvm
640,16,12,1,640,128,[640; 16; 12; 1; 640; 128],0.13546827295795083,0.269963053140718,tvm
640,64,10,1,128,128,[640; 64; 10; 1; 128; 128],0.10367110592778772,0.3527639475255763,tvm
80,16,20,1,1280,128,[80; 16; 20; 1; 1280; 128],0.10801617393735796,0.33857363428404263,tvm
320,64,10,1,256,128,[320; 64; 10; 1; 256; 128],0.10442792309913784,0.3502073725694015,tvm
128,64,4,1,64,64,[128; 64; 4; 1; 64; 64],0.11838379001710564,0.30892260305354524,tvm
32,1,20,1,128,64,[32; 1; 20; 1; 128; 64],0.08341238199500367,0.4384412445339251,tvm
20,4,15,1,160,16,[20; 4; 15; 1; 160; 16],0.11025434907060117,0.33170055312747915,tvm
640,20,75,1,128,16,[640; 20; 75; 1; 128; 16],0.2845821229275316,0.12850922677508253,tvm
256,8,3,1,128,16,[256; 8; 3; 1; 128; 16],0.2708014230011031,0.13504887886530642,tvm
256,16,12,1,128,64,[256; 16; 12; 1; 128; 64],0.11431370407808572,0.319921647770658,tvm
256,16,2,1,1280,64,[256; 16; 2; 1; 1280; 64],0.22063550900202245,0.16575495366474916,tvm
256,64,150,1,64,64,[256; 64; 150; 1; 64; 64],0.11150086391717196,0.32799233375084463,tvm
40,1,10,1,128,128,[40; 1; 10; 1; 128; 128],0.12210281402803957,0.2995133966611969,tvm
128,32,1500,1,128,16,[128; 32; 1500; 1; 128; 16],0.26826000993605703,0.13632829052733506,tvm
2,1,4,1,64,16,[2; 1; 4; 1; 64; 16],0.15912869607564062,0.22982296388606505,tvm
4,4,150,1,80,16,[4; 4; 150; 1; 80; 16],0.13857764296699315,0.2639056906180694,tvm
320,20,75,1,256,16,[320; 20; 75; 1; 256; 16],0.2735417590010911,0.13369596183404925,tvm
64,32,75,1,640,128,[64; 32; 75; 1; 640; 128],0.1097540509654209,0.3332125625408648,tvm
